CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
11,7063667,Τομάτες,2.12,5.52,ntomates.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
12,7063697,Τοματίνια,6.98,12.96,ntomatinia.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
13,7063652,Αγγούρια,0.58,2.9,aggouria.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
14,7063710,Κολοκύθια,1.78,5.56,kolokuthia.jpg,Λαχανικά,kg,,ab,29-10-2024,04-11-2024
15,7063845,Μαρούλια,0.8,1.86,maroulia.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
17.1,7064162,Πατάτες Κύπρου,1.68,1.68,patates_kuprou.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
17.2,7335944,Πατάτες εγχώριες,0.92,2.26,patates_egxories.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,29-10-2024,04-11-2024
19,7064213,Κρεμμύδια ξερά,0.65,2.05,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
2,7062943,Λεμόνια,1.65,3.42,lemonia.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
20,7064229,Κρεμμύδια φρέσκα,2.45,2.45,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
21,7063904,Σπανάκι,2.32,4.18,spanaki.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
22,7063905,Παντζάρια,1.65,3.73,pantzaria.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
23,7063924,Καρότα,0.93,2.47,karota.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
25,7063804,Λάχανα,0.95,1.78,laxana.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
26,7063767,Κουνουπίδια,2.67,6.35,kounoupidia.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
27,7063823,Μπρόκολο,3.25,5.62,mprokolo.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
28.1,7063729,Πιπεριές χονδρές,3.04,4.75,piperies_xondres.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
28.2,7063738,Πιπεριές μακριές,3.22,3.22,piperies_makries.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
29,7063831,Μελιτζάνες,1.78,4.75,melitzanes.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
3,7063298,Μπανάνες,1.85,2.08,bananes.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
30,7064307,Μαϊντανός,0.79,2.15,maintanos.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
31,7064310,Άνηθος,0.79,2.47,anithos.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
32,7064311,Σέλινο,2.28,3.39,selino.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
33,7063776,Φασολάκια ,3.59,3.59,fasolakia.jpg,Λαχανικά,Kg,,ab,29-10-2024,04-11-2024
4,7062871,Πορτοκάλια Βαλέντσια ,1.32,1.28,portokalia.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
5,7062908,Μανταρίνια,3.35,1.87,mantarinia.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
6,7125570,Αχλάδια,1.63,6.22,axladia.jpg,Φρούτα,Kg,,ab,29-10-2024,04-11-2024
