CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,7063330,Σταφύλια,3.97,4.82,stafilia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
11,7063667,Τομάτες,1.82,3.98,ntomates.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
12,7063697,Τοματίνια,3.98,2.49,ntomatinia.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
13,7063652,Αγγούρια,0.58,2.17,aggouria.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
14,7063710,Κολοκύθια,1.95,3.75,kolokuthia.jpg,Λαχανικά,kg,,ab,07-10-2025,13-10-2025,
15,7063845,Μαρούλια,0.69,2.12,maroulia.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
17.1,7064162,Πατάτες Κύπρου,1.48,1.48,patates_kuprou.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
17.2,7335944,Πατάτες εγχώριες,0.65,2.44,patates_egxories.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
18,7064239,Σκόρδα (κομμάτι),0.63,0.63,skorda.jpg,Λαχανικά,τμχ.,,ab,07-10-2025,13-10-2025,
19,7064213,Κρεμμύδια ξερά,0.92,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
2,7062943,Λεμόνια,2.5,4.85,lemonia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
21,7063904,Σπανάκι,2.25,5.99,spanaki.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
22,7063905,Παντζάρια,1.45,4.39,pantzaria.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
23,7063924,Καρότα,0.79,2.18,karota.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
25,7063804,Λάχανα,0.55,1.97,laxana.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
26,7063767,Κουνουπίδια,2.25,6.25,kounoupidia.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
27,7063823,Μπρόκολο,2.78,5.52,mprokolo.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
28.1,7063729,Πιπεριές χονδρές,1.75,2.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
28.2,7063738,Πιπεριές μακριές,2.05,2.05,piperies_makries.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
29,7063831,Μελιτζάνες,1.35,4.62,melitzanes.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
30,7064307,Μαϊντανός,0.64,1.87,maintanos.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
31,7064310,Άνηθος,0.64,2.35,anithos.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
33,7063776,Φασολάκια ,3.28,3.28,fasolakia.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
6,7125570,Αχλάδια,1.87,6.22,axladia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
7.1,7062828,Μήλα Golden Delicious,1.98,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
7.2,7062840,Μήλα Granny Smith ,1.98,4.85,mila_granny_smith.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
7.3,7633877,Μήλα Starkin Delicious,1.55,4.99,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
7.4,7062808,Μήλα Gala,1.99,4.46,mila_gala.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
8,7063274,Ρόδια,2.84,3.92,rodia.jpg,Φρούτα,Kg,,ab,07-10-2025,13-10-2025,
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,07-10-2025,13-10-2025,
0,19107,Φρούτα,1.46,1.46,19107.jpg,,,,bazaar,07-10-2025,13-10-2025,
15,19119,Μαρούλια,1.1,1.1,19119.jpg,Λαχανικά,Kg,,bazaar,07-10-2025,13-10-2025,
7.1,19124,Μήλα Golden Delicious,1.75,1.75,19124.jpg,Φρούτα,Kg,,bazaar,07-10-2025,13-10-2025,
9,19173,Μανιτάρια,4.15,4.15,19173.jpg,Λαχανικά,Kg,,bazaar,07-10-2025,13-10-2025,
23,19185,Καρότα,0.95,0.95,19185.jpg,Λαχανικά,Kg,,bazaar,07-10-2025,13-10-2025,
19,19210,Κρεμμύδια ξερά,0.98,0.98,19210.jpg,Λαχανικά,Kg,,bazaar,07-10-2025,13-10-2025,
3,19213,Μπανάνες,1.68,1.68,19213.jpg,Φρούτα,Kg,,bazaar,07-10-2025,13-10-2025,
28.1,19806,Πιπεριές χονδρές,1.7,1.7,19806.jpg,Λαχανικά,Kg,,bazaar,07-10-2025,13-10-2025,
18,5202336028665,Σκόρδα (κομμάτι),0.45,0.45,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,07-10-2025,13-10-2025,
