CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
11,7063667,Τομάτες,2.14,2.89,ntomates.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
12,7063697,Τοματίνια,5.35,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
13,7063652,Αγγούρια,1.04,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
14,7063710,Κολοκύθια,3.39,6.55,kolokuthia.jpg,Λαχανικά,kg,,ab,27-01-2026,02-02-2026
15,7063845,Μαρούλια,1.09,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
17.1,7064162,Πατάτες Κύπρου,1.59,1.59,patates_kuprou.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
17.2,7335944,Πατάτες εγχώριες,0.83,2.05,patates_egxories.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
18,7064239,Σκόρδα (κομμάτι),0.67,0.67,skorda.jpg,Λαχανικά,τμχ.,,ab,27-01-2026,02-02-2026
19,7064213,Κρεμμύδια ξερά,0.88,1.97,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
2,7062943,Λεμόνια,1.85,2.55,lemonia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
20,7064229,Κρεμμύδια φρέσκα,2.49,2.49,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
21,7063904,Σπανάκι,2.25,5.19,spanaki.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
22,7063905,Παντζάρια,1.48,3.99,pantzaria.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
23,7063924,Καρότα,0.77,2.29,karota.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
25,7063804,Λάχανα,0.52,1.35,laxana.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
26,7063767,Κουνουπίδια,2.25,4.75,kounoupidia.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
27,7063823,Μπρόκολο,3.25,5.69,mprokolo.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
28.1,7063729,Πιπεριές χονδρές,3.25,3.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
28.2,7063738,Πιπεριές μακριές,3.45,3.45,piperies_makries.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
29,7063831,Μελιτζάνες,3.45,3.49,melitzanes.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
30,7064307,Μαϊντανός,0.75,1.75,maintanos.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
31,7064310,Άνηθος,0.78,1.94,anithos.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
32,7064311,Σέλινο,1.75,2.99,selino.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
33,7063776,Φασολάκια ,4.19,4.19,fasolakia.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
5,7062908,Μανταρίνια,1.89,2.77,mantarinia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
6,7125570,Αχλάδια,1.99,6.22,axladia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
7.1,7062828,Μήλα Golden Delicious,1.98,4.75,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
7.2,7062840,Μήλα Granny Smith ,1.98,4.75,mila_granny_smith.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
7.3,7633877,Μήλα Starkin Delicious,1.55,4.15,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
7.4,7062808,Μήλα Gala,1.98,4.19,mila_gala.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
8,7063274,Ρόδια,2.99,3.25,rodia.jpg,Φρούτα,Kg,,ab,27-01-2026,02-02-2026
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,27-01-2026,02-02-2026
24,16598,Ραπανάκια,2.4,2.4,16598.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
22,19002,Παντζάρια,1.6,1.6,19002.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
11,19004,Τομάτες,2,2,19004.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
25,19012,Λάχανα,0.75,0.75,19012.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
7.2,19023,Μήλα Granny Smith,2.4,2.4,19023.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
29,19034,Μελιτζάνες,4.58,4.58,19034.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
28.2,19036,Πιπεριές μακριές,3.84,4.32,19036.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
6,19042,Αχλάδια,2.49,2.49,19042.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
30,19044,Μαϊντανός,0.55,0.55,19044.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
31,19045,’νηθος,0.6,0.6,19045.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
21,19046,Σπανάκι,3.2,3.2,19046.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
13,19052,Αγγούρια,3.95,3.95,19052.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
7.3,19066,Μήλα Starkin Delicious,2.18,2.18,19066.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
32,19067,Σέλινο,0.48,0.48,19067.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
20,19071,Κρεμμύδια φρέσκα,0.7,0.7,19071.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
27,19076,Μπρόκολο,3.68,3.68,19076.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
15,19119,Μαρούλια,1.05,1.05,19119.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
17.3,19120,Πατάτες εισαγωγής,1.12,1.12,19120.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
7.1,19124,Μήλα Golden Delicious,2.25,2.25,19124.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
9,19173,Μανιτάρια,4.2,4.2,19173.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
23,19185,Καρότα,0.88,0.88,19185.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
19,19210,Κρεμμύδια ξερά,0.88,0.88,19210.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
3,19213,Μπανάνες,1.78,1.78,19213.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
10,19792,Αγκινάρες,6.95,6.95,19792.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
28.1,19806,Πιπεριές χονδρές,4.48,4.48,19806.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
5,19909,Μανταρίνια,1.98,1.98,19909.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
2,19938,Λεμόνια,1.52,1.52,19938.jpg,Φρούτα,Kg,,bazaar,27-01-2026,02-02-2026
17,19948,Πατάτες,0.95,0.95,19948.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
16,5200374820104,Ρόκα,1.17,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,27-01-2026,02-02-2026
18,5202336028665,Σκόρδα (κομμάτι),0.42,0.42,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,27-01-2026,02-02-2026
2,2130013000000,ΛΕΜΟΝΙΑ,1.79,1.79,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
3,2130012000000,ΜΠΑΝΑΝΕΣ,1.69,1.69,3_Mpananes.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
4,2130115000000,ΠΟΡΤΟΚΑΛΙΑ,0.89,1.29,4_Portokalia_Valencia.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
5,2130053000000,ΜΑΝΤΑΡΙΝΙΑ,1.55,1.55,5_Klimentines_Kalathi.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
6,2130025000000,ΑΧΛΑΔΙΑ,1.89,2.49,6_Achladia_Kristalia.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
7.2,2130009000000,ΜΗΛΑ ΠΡΑΣΙΝΑ,1.65,1.65,7.2_Mila_Granny_Smith.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
7.3,2130006000000,ΜΗΛΑ ΣΤΑΡΚΙΝ,1.99,1.99,7.3_Mila_Starkin_Kokkina.jpg,Φρούτα,Kg,,egnatia,27-01-2026,02-02-2026
