CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
11,7063667,Τομάτες,1.8,3.15,ntomates.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
12,7063697,Τοματίνια,4.55,2.49,ntomatinia.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
13,7063652,Αγγούρια,0.65,1.94,aggouria.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
14,7063710,Κολοκύθια,2.05,5.49,kolokuthia.jpg,Λαχανικά,kg,,ab,11-11-2025,17-11-2025
15,7063845,Μαρούλια,0.75,2.12,maroulia.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
17.1,7064162,Πατάτες Κύπρου,1.49,1.49,patates_kuprou.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
17.2,7335944,Πατάτες εγχώριες,0.67,2.44,patates_egxories.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
18,7064239,Σκόρδα (κομμάτι),0.63,0.63,skorda.jpg,Λαχανικά,τμχ.,,ab,11-11-2025,17-11-2025
19,7064213,Κρεμμύδια ξερά,0.89,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
2,7062943,Λεμόνια,2.09,3.75,lemonia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
21,7063904,Σπανάκι,1.99,5.78,spanaki.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
22,7063905,Παντζάρια,1.48,4.58,pantzaria.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
23,7063924,Καρότα,0.77,2.23,karota.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
25,7063804,Λάχανα,0.55,1.84,laxana.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
26,7063767,Κουνουπίδια,1.95,6.28,kounoupidia.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
27,7063823,Μπρόκολο,2.25,4.52,mprokolo.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
28.1,7063729,Πιπεριές χονδρές,2.05,3.7,piperies_xondres.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
28.2,7063738,Πιπεριές μακριές,2.49,2.49,piperies_makries.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
29,7063831,Μελιτζάνες,1.65,4.49,melitzanes.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
30,7064307,Μαϊντανός,0.67,1.94,maintanos.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
31,7064310,Άνηθος,0.67,1.97,anithos.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
33,7063776,Φασολάκια ,3.44,3.44,fasolakia.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
5,7062908,Μανταρίνια,2.05,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
6,7125570,Αχλάδια,1.98,6.22,axladia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
7.1,7062828,Μήλα Golden Delicious,1.98,4.67,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
7.2,7062840,Μήλα Granny Smith ,2.09,4.88,mila_granny_smith.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
7.3,7633877,Μήλα Starkin Delicious,1.63,4.73,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
7.4,7062808,Μήλα Gala,1.98,4.25,mila_gala.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
8,7063274,Ρόδια,2.73,3.36,rodia.jpg,Φρούτα,Kg,,ab,11-11-2025,17-11-2025
9,7064279,Μανιτάρια,1.39,1.39,manitaria.jpg,Λαχανικά,Kg,,ab,11-11-2025,17-11-2025
22,19002,Παντζάρια,1.6,1.6,19002.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
11,19004,Τομάτες,1.12,1.12,19004.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
14,19008,Κολοκύθια,1.6,1.6,19008.jpg,Λαχανικά,kg,,bazaar,11-11-2025,17-11-2025
7.2,19023,Μήλα Granny Smith,1.76,1.76,19023.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
29,19034,Μελιτζάνες,1.28,1.28,19034.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
28.2,19036,Πιπεριές μακριές,1.6,3.2,19036.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
6,19042,Αχλάδια,2.4,2.4,19042.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
30,19044,Μαϊντανός,0.4,0.4,19044.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
31,19045,’νηθος,0.48,0.48,19045.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
21,19046,Σπανάκι,2.4,2.4,19046.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
13,19052,Αγγούρια,1.44,1.44,19052.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
7.3,19066,Μήλα Starkin Delicious,2,2,19066.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
32,19067,Σέλινο,0.4,0.4,19067.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
20,19071,Κρεμμύδια φρέσκα,0.56,0.56,19071.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
27,19076,Μπρόκολο,3.1,3.1,19076.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
0,19107,Φρούτα,1.68,1.68,19107.jpg,,,,bazaar,11-11-2025,17-11-2025
15,19119,Μαρούλια,1.04,1.04,19119.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
7.1,19124,Μήλα Golden Delicious,2.48,2.48,19124.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
9,19173,Μανιτάρια,4.56,4.56,19173.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
23,19185,Καρότα,1.04,1.04,19185.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
19,19210,Κρεμμύδια ξερά,0.91,0.91,19210.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
3,19213,Μπανάνες,1.39,1.39,19213.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
28.1,19806,Πιπεριές χονδρές,1.6,1.6,19806.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
1,19891,Σταφύλια,3.2,3.2,19891.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
25,19935,Λάχανα,0.64,1.25,19935.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
2,19938,Λεμόνια,2.24,2.24,19938.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
17,19948,Πατάτες,0.96,0.96,19948.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
8,19953,Ρόδια,2.88,2.88,19953.jpg,Φρούτα,Kg,,bazaar,11-11-2025,17-11-2025
33,19962,Φασολάκια,2.88,2.88,19962.jpg,Λαχανικά,Kg,,bazaar,11-11-2025,17-11-2025
18,5202336028665,Σκόρδα (κομμάτι),0.38,0.38,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,11-11-2025,17-11-2025
1,2130008000000,ΣΤΑΦΥΛΙΑ ΚΟΚΚΙΝΑ ΑΣΠΟΡΑ,2.69,2.69,1_Stafilia_Kokkina_Aspora.jpg,Φρούτα,Kg,,egnatia,11-11-2025,17-11-2025
2,2130013000000,ΛΕΜΟΝΙΑ,1.99,1.99,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,11-11-2025,17-11-2025
