CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
11,7063667,Τομάτες,1.88,2.88,ntomates.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
12,7063697,Τοματίνια,5.09,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
13,7063652,Αγγούρια,0.68,1.95,aggouria.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
14,7063710,Κολοκύθια,2.35,6.88,kolokuthia.jpg,Λαχανικά,kg,,ab,28-01-2025,03-02-2025
15,7063845,Μαρούλια,0.77,1.64,maroulia.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
17.1,7064162,Πατάτες Κύπρου,1.94,1.94,patates_kuprou.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
17.2,7335944,Πατάτες εγχώριες,0.99,2.39,patates_egxories.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
17.3 ,7148993,Πατάτες εισαγωγής,0.95,0.95,,,,,ab,28-01-2025,03-02-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,28-01-2025,03-02-2025
19,7064213,Κρεμμύδια ξερά,0.73,1.66,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
2,7062943,Λεμόνια,1.09,2.19,lemonia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
20,7064229,Κρεμμύδια φρέσκα,2.59,2.59,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
21,7063904,Σπανάκι,2.19,4.91,spanaki.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
22,7063905,Παντζάρια,1.39,4.49,pantzaria.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
23,7063924,Καρότα,0.93,2.18,karota.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
25,7063804,Λάχανα,0.82,1.69,laxana.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
26,7063767,Κουνουπίδια,1.73,5.46,kounoupidia.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
27,7063823,Μπρόκολο,2.49,5.98,mprokolo.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
28.1,7063729,Πιπεριές χονδρές,2.58,3.69,piperies_xondres.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
28.2,7063738,Πιπεριές μακριές,2.79,2.79,piperies_makries.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
29,7063831,Μελιτζάνες,2.98,4.49,melitzanes.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
30,7064307,Μαϊντανός,0.69,1.63,maintanos.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
31,7064310,Άνηθος,0.69,1.76,anithos.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
32,7064311,Σέλινο,2.02,4.59,selino.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
33,7063776,Φασολάκια ,5.19,5.19,fasolakia.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.07,2.1,portokalia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
5,7062908,Μανταρίνια,1.98,2.49,mantarinia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
6,7125570,Αχλάδια,1.52,6.22,axladia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
7.1,7062828,Μήλα Golden Delicious,1.79,4.31,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
7.2,7062840,Μήλα Granny Smith ,1.73,4.29,mila_granny_smith.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
7.3,7633877,Μήλα Starkin Delicious,1.28,3.47,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
7.4,7062808,Μήλα Gala,1.86,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
8,7063274,Ρόδια,2.05,2.8,rodia.jpg,Φρούτα,Kg,,ab,28-01-2025,03-02-2025
9,7064279,Μανιτάρια,1.34,1.34,manitaria.jpg,Λαχανικά,Kg,,ab,28-01-2025,03-02-2025
