CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
11,7063667,Τομάτες,2.18,3.15,ntomates.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
12,7063697,Τοματίνια,5.45,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
13,7063652,Αγγούρια,1.04,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
14,7063710,Κολοκύθια,3.65,6.55,kolokuthia.jpg,Λαχανικά,kg,,ab,10-02-2026,16-02-2026
15,7063845,Μαρούλια,1.15,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
17.1,7064162,Πατάτες Κύπρου,1.62,1.62,patates_kuprou.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
17.2,7335944,Πατάτες εγχώριες,0.79,2.05,patates_egxories.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,10-02-2026,16-02-2026
19,7064213,Κρεμμύδια ξερά,0.88,1.97,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
2,7062943,Λεμόνια,1.69,2.55,lemonia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
20,7064229,Κρεμμύδια φρέσκα,2.65,2.65,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
21,7063904,Σπανάκι,2.25,5.19,spanaki.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
22,7063905,Παντζάρια,1.48,3.99,pantzaria.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
23,7063924,Καρότα,0.77,2.29,karota.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
25,7063804,Λάχανα,0.52,1.35,laxana.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
26,7063767,Κουνουπίδια,2.25,4.75,kounoupidia.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
27,7063823,Μπρόκολο,3.45,5.69,mprokolo.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
28.1,7063729,Πιπεριές χονδρές,3.45,3.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
28.2,7063738,Πιπεριές μακριές,3.55,3.55,piperies_makries.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
29,7063831,Μελιτζάνες,3.55,3.89,melitzanes.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
30,7064307,Μαϊντανός,0.75,1.75,maintanos.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
31,7064310,Άνηθος,0.78,1.94,anithos.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
32,7064311,Σέλινο,1.79,2.99,selino.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
33,7063776,Φασολάκια ,4.25,4.25,fasolakia.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
5,7062908,Μανταρίνια,1.89,2.77,mantarinia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
6,7125570,Αχλάδια,2.09,6.22,axladia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
7.1,7062828,Μήλα Golden Delicious,1.98,4.75,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
7.2,7062840,Μήλα Granny Smith ,1.98,4.75,mila_granny_smith.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
7.3,7633877,Μήλα Starkin Delicious,1.63,4.15,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
7.4,7062808,Μήλα Gala,1.98,4.19,mila_gala.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
8,7063274,Ρόδια,2.95,3.25,rodia.jpg,Φρούτα,Kg,,ab,10-02-2026,16-02-2026
9,7064279,Μανιτάρια,1.4,1.4,manitaria.jpg,Λαχανικά,Kg,,ab,10-02-2026,16-02-2026
24,16598,Ραπανάκια,2.4,2.4,16598.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
22,19002,Παντζάρια,1.65,1.65,19002.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
11,19004,Τομάτες,1.95,1.95,19004.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
14,19008,Κολοκύθια,3.95,3.95,19008.jpg,Λαχανικά,kg,,bazaar,10-02-2026,16-02-2026
25,19012,Λάχανα,0.68,0.68,19012.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
7.2,19023,Μήλα Granny Smith,2.19,2.19,19023.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
26,19028,Κουνουπίδια,2.89,2.89,19028.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
29,19034,Μελιτζάνες,3.75,3.75,19034.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
28.2,19036,Πιπεριές μακριές,4.48,4.69,19036.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
6,19042,Αχλάδια,2.45,2.45,19042.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
30,19044,Μαϊντανός,0.55,0.55,19044.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
31,19045,’νηθος,0.65,0.65,19045.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
21,19046,Σπανάκι,3.2,3.2,19046.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
13,19052,Αγγούρια,3.19,3.19,19052.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
7.3,19066,Μήλα Starkin Delicious,2.15,2.15,19066.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
32,19067,Σέλινο,0.65,0.65,19067.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
20,19071,Κρεμμύδια φρέσκα,0.75,0.75,19071.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
27,19076,Μπρόκολο,3.68,3.68,19076.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
15,19119,Μαρούλια,1.12,1.12,19119.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
7.1,19124,Μήλα Golden Delicious,2.19,2.19,19124.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
19,19130,Κρεμμύδια ξερά,0.88,0.88,19130.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
9,19173,Μανιτάρια,4.39,4.39,19173.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
23,19185,Καρότα,0.88,0.88,19185.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
3,19213,Μπανάνες,1.8,1.8,19213.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
10,19792,Αγκινάρες,6.95,6.95,19792.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
28.1,19806,Πιπεριές χονδρές,4.29,4.29,19806.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
5,19909,Μανταρίνια,1.7,1.7,19909.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
2,19938,Λεμόνια,1.59,1.59,19938.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
17,19948,Πατάτες,1.05,1.05,19948.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
8,19953,Ρόδια,6.88,6.88,19953.jpg,Φρούτα,Kg,,bazaar,10-02-2026,16-02-2026
17.3,19986,Πατάτες εισαγωγής,0.96,0.96,19986.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
16,5200374820104,Ρόκα,1.2,1.2,5200374820104.jpg,Λαχανικά,Kg,,bazaar,10-02-2026,16-02-2026
18,5202336028665,Σκόρδα (κομμάτι),0.42,0.42,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,10-02-2026,16-02-2026
2,2130013000000,ΛΕΜΟΝΙΑ,1.79,1.79,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,10-02-2026,16-02-2026
