CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,17-12-2024,23-12-2024
11,7063667,Τομάτες,2.45,2.95,ntomates.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
12,7063697,Τοματίνια,4.65,11,ntomatinia.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
13,7063652,Αγγούρια,0.55,1.95,aggouria.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
14,7063710,Κολοκύθια,2.69,6.28,kolokuthia.jpg,Λαχανικά,kg,,ab,17-12-2024,23-12-2024
15,7063845,Μαρούλια,0.76,1.28,maroulia.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
17.1,7064162,Πατάτες Κύπρου,1.79,1.79,patates_kuprou.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
17.2,7335944,Πατάτες εγχώριες,0.99,2.19,patates_egxories.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,17-12-2024,23-12-2024
19,7064213,Κρεμμύδια ξερά,0.7,1.63,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
2,7062943,Λεμόνια,1.22,2.42,lemonia.jpg,Φρούτα,Kg,,ab,17-12-2024,23-12-2024
20,7064229,Κρεμμύδια φρέσκα,2.26,2.26,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
21,7063904,Σπανάκι,1.92,4.83,spanaki.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
22,7063905,Παντζάρια,1.39,3.97,pantzaria.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
23,7063924,Καρότα,0.89,2.29,karota.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
25,7063804,Λάχανα,0.89,1.57,laxana.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
26,7063767,Κουνουπίδια,1.98,5.62,kounoupidia.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
27,7063823,Μπρόκολο,3.07,5.58,mprokolo.jpg,Λαχανικά,Kg,,ab,17-12-2024,23-12-2024
