CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,4.23,stafilia.jpg,Φρούτα,Kg,,ab,23-09-2025,29-09-2025
11,7063667,Τομάτες,1.8,4.98,ntomates.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
12,7063697,Τοματίνια,3.69,2.49,ntomatinia.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
13,7063652,Αγγούρια,0.57,2.13,aggouria.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
14,7063710,Κολοκύθια,1.59,3.49,kolokuthia.jpg,Λαχανικά,kg,,ab,23-09-2025,29-09-2025
15,7063845,Μαρούλια,0.69,2.12,maroulia.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
17.1,7064162,Πατάτες Κύπρου,1.55,1.55,patates_kuprou.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
17.2,7335944,Πατάτες εγχώριες,0.62,2.49,patates_egxories.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
18,7064239,Σκόρδα (κομμάτι),0.63,0.63,skorda.jpg,Λαχανικά,τμχ.,,ab,23-09-2025,29-09-2025
19,7064213,Κρεμμύδια ξερά,0.92,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
2,7062943,Λεμόνια,2.5,4.8,lemonia.jpg,Φρούτα,Kg,,ab,23-09-2025,29-09-2025
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
21,7063904,Σπανάκι,2.42,5.72,spanaki.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
22,7063905,Παντζάρια,1.45,4.5,pantzaria.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
23,7063924,Καρότα,0.79,2.09,karota.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
25,7063804,Λάχανα,0.65,1.99,laxana.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
26,7063767,Κουνουπίδια,2.35,5.99,kounoupidia.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
27,7063823,Μπρόκολο,3.15,6.05,mprokolo.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
28.1,7063729,Πιπεριές χονδρές,1.75,2.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
28.2,7063738,Πιπεριές μακριές,1.99,1.99,piperies_makries.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
29,7063831,Μελιτζάνες,1.35,4.27,melitzanes.jpg,Λαχανικά,Kg,,ab,23-09-2025,29-09-2025
3,7063298,Μπανάνες,1.75,1.99,bananes.jpg,Φρούτα,Kg,,ab,23-09-2025,29-09-2025
