CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,"CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE",null
31,19045,’νηθος,0.6,0.6,19045.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
21,19046,Σπανάκι,2.78,2.78,19046.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
13,19052,Αγγούρια,2.15,2.15,19052.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
7.3,19066,Μήλα Starkin Delicious,2.15,2.15,19066.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
32,19067,Σέλινο,0.6,0.6,19067.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
20,19071,Κρεμμύδια φρέσκα,0.65,0.65,19071.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
27,19076,Μπρόκολο,3.68,3.68,19076.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
4,19100,Πορτοκάλια Βαλέντσια,0.85,0.85,19100.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
15,19119,Μαρούλια,1.08,1.08,19119.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
7.1,19124,Μήλα Golden Delicious,2.39,2.39,19124.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
19,19130,Κρεμμύδια ξερά,0.88,0.88,19130.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
9,19173,Μανιτάρια,4.39,4.39,19173.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
23,19185,Καρότα,0.84,0.84,19185.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
3,19213,Μπανάνες,1.78,1.78,19213.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
10,19792,Αγκινάρες,5.9,5.9,19792.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
28.1,19806,Πιπεριές χονδρές,5.9,5.9,19806.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
25,19935,Λάχανα,0.68,1.19,19935.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
2,19938,Λεμόνια,1.44,1.44,19938.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
8,19953,Ρόδια,5.76,5.76,19953.jpg,Φρούτα,Kg,,bazaar,17-03-2026,23-03-2026,,
17.3,19986,Πατάτες εισαγωγής,0.78,0.78,19986.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
16,5200374820104,Ρόκα,1.17,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,17-03-2026,23-03-2026,,
18,5202336028665,Σκόρδα (κομμάτι),0.55,0.55,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,17-03-2026,23-03-2026,,
,,,,,,,,,galaxias,17-03-2026,23-03-2026,1,"['397331', 'ΣΤΑΦΥΛΙΑ ΣΟΥΛΤΑΝΙΝΑ Α"" ΕΓΧΩΡΙΑ', '1.98', '1.98']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,1,"['80032109', 'ΣΤΑΦΥΛΙΑ ΑΤΤΙΚΗ ΕΓΧΩΡΙΑ', '2.98', '2.98']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,2,"['397140', 'ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ', '1.85', '1.85']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,2,"['397141', 'ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ', '2.28', '2.28']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,3,"['397184', 'ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ', '1.85', '1.85']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,4,"['397179', 'ΠΟΡΤΟΚΑΛΙΑ ΕΓΧΩΡΙΑ ΔΙΧΤΥ ΚΙΛΟ', '0.95', '0.95']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,6,"['397046', 'ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ', '2.38', '2.38']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,6,"['397314', 'ΑΧΛΑΔΙΑ ΚΟΣΙΑ ΕΓΧΩΡΙΑ ', '2.9', '2.9']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,6,"['397315', ""ΑΧΛΑΔΙΑ ΣΑΝΤΕΣ Α' ΕΓΧΩΡΙΑ "", '2.24', '2.24']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,7,"['397169', 'ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ', '2.18', '2.18']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,7.1,"['397067', 'ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ', '2.58', '2.58']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,7.2,"['397172', 'ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ', '1.95', '1.95']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,7.3,"['397167', 'ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ', '1.73', '1.73']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,7.4,"['397170', 'ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ', '1.98', '1.98']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,8,"['397231', 'ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ', '5.38', '5.38']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,9,"['397150', 'ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓΩΓΗΣ', '1.87', '1.87']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,11,"['397193', 'ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ', '2.48', '2.48']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,12,"['397255', 'ΝΤΟΜΑΤΙΝΙΑ ΕΓΧΩΡΙΑ ΚΙΛ', '3.9', '3.9']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,12,"['80022643', 'ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ', '6.3', '6.3']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,13,"['397004', ""ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ "", '0.68', '0.68']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,14,"['397110', 'ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ', '3.2', '3.2']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,15,"['397161', 'ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ', '1.06', '1.06']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,17.1,"['397196', 'ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ', '1.68', '1.68']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,17.2,"['397197', ""ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α'"", '0.75', '0.75']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,18,"['397243', 'ΣΚΟΡΔΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΑ', '0.63', '0.63']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,19,"['397125', 'ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ', '0.9', '0.9']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,20,"['397123', 'ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ', '0.9', '0.9']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,21,"['397246', 'ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ', '2.1', '2.1']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,22,"['397198', 'ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ', '1.43', '1.43']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,23,"['397088', 'ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ', '0.72', '0.72']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,24,"['397221', 'ΡΑΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΑ', '0.98', '0.98']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,25,"['397132', 'ΛΑΧΑΝΑ ΕΓΧΩΡΙΑ', '0.5', '0.5']"
,,,,,,,,,galaxias,17-03-2026,23-03-2026,26,"['397117', 'ΚΟΥΝΟΥΠΙΔΙΑ ΕΓΧΩΡΙΑ', '1.65', '1.65']"
