CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
11,7063667,Τομάτες,2.45,4.69,ntomates.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
12,7063697,Τοματίνια,6.25,2.79,ntomatinia.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
13,7063652,Αγγούρια,0.68,1.99,aggouria.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
14,7063710,Κολοκύθια,2.15,7.75,kolokuthia.jpg,Λαχανικά,kg,,ab,05-05-2026,11-05-2026,
15,7063845,Μαρούλια,0.95,1.69,maroulia.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
17.1,7064162,Πατάτες Κύπρου,1.65,1.65,patates_kuprou.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
17.2,7335944,Πατάτες εγχώριες,0.89,2.45,patates_egxories.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
18,7064239,Σκόρδα (κομμάτι),0.64,0.64,skorda.jpg,Λαχανικά,τμχ.,,ab,05-05-2026,11-05-2026,
19,7064213,Κρεμμύδια ξερά,0.88,2.35,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
2,7062943,Λεμόνια,2.15,2.49,lemonia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
20,7064229,Κρεμμύδια φρέσκα,2.85,2.85,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
21,7063904,Σπανάκι,2.05,4.19,spanaki.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
22,7063905,Παντζάρια,1.55,3.15,pantzaria.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
23,7063924,Καρότα,0.89,2.75,karota.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
24,7063936,Ραπανάκια,0.85,0.85,rapanakia.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
25,7063804,Λάχανα,0.49,1.42,laxana.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
26,7063767,Κουνουπίδια,2.69,6.05,kounoupidia.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
27,7063823,Μπρόκολο,4.25,7.19,mprokolo.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
28.1,7063729,Πιπεριές χονδρές,3.85,6.98,piperies_xondres.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
28.2,7063738,Πιπεριές μακριές,3.98,3.98,piperies_makries.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
29,7063831,Μελιτζάνες,2.15,7.09,melitzanes.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
30,7064307,Μαϊντανός,0.72,1.65,maintanos.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
31,7064310,Άνηθος,0.72,1.99,anithos.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
32,7064311,Σέλινο,1.89,2.99,selino.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
33,7063776,Φασολάκια ,6.75,6.75,fasolakia.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.89,portokalia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
5,7062908,Μανταρίνια,2.09,2.92,mantarinia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
6,7125570,Αχλάδια,2.25,7.15,axladia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
7.1,7062828,Μήλα Golden Delicious,2.15,4.99,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
7.2,7062840,Μήλα Granny Smith ,2.1,4.99,mila_granny_smith.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
7.3,7633877,Μήλα Starkin Delicious,1.63,4.85,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
7.4,7062808,Μήλα Gala,1.98,4.85,mila_gala.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
8,7063274,Ρόδια,2.95,3.35,rodia.jpg,Φρούτα,Kg,,ab,05-05-2026,11-05-2026,
9,7064279,Μανιτάρια,1.45,1.45,manitaria.jpg,Λαχανικά,Kg,,ab,05-05-2026,11-05-2026,
1,397331,"ΣΤΑΦΥΛΙΑ ΣΟΥΛΤΑΝΙΝΑ Α"" ΕΓΧΩΡΙΑ",1.98,1.98,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
1,80032109,ΣΤΑΦΥΛΙΑ ΑΤΤΙΚΗ ΕΓΧΩΡΙΑ,2.98,2.98,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
2,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,1.98,1.98,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
2,397141,ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ,2.28,2.28,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
3,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.95,1.95,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
4,397179,ΠΟΡΤΟΚΑΛΙΑ ΕΓΧΩΡΙΑ ΔΙΧΤΥ ΚΙΛΟ,1.19,1.19,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
6,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,2.28,2.28,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
6,397314,ΑΧΛΑΔΙΑ ΚΟΣΙΑ ΕΓΧΩΡΙΑ ,2.9,2.9,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
6,397315,ΑΧΛΑΔΙΑ ΣΑΝΤΕΣ Α' ΕΓΧΩΡΙΑ ,2.24,2.24,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
7,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,2.28,2.28,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
7.1,397067,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ,2.23,2.23,,Φρούτα,Kg,,galaxias,05-05-2026,11-05-2026,
