product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price
1402,ΜΠΡΙΖΟΛΑ ΧΟΙΡ. ΕΛΛΗΝ. ΝΩΠΗ M/Ο Α/Δ Χ/Φ. Τ. Κ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,xalkiadakis,7.15
1402,ΜΠΡΙΖΟΛΑ ΧΟΙΡ. ΕΛΛΗΝ. ΝΩΠΗ M/Ο Α/Δ Χ/Φ. Τ. Κ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,marketin,7.69
1402,ΜΠΡΙΖΟΛΑ ΧΟΙΡ. ΕΛΛΗΝ. ΝΩΠΗ M/Ο Α/Δ Χ/Φ. Τ. Κ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,synka,7.45
1501,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ ΟΛΛΑΝΔΙΑΣ Μ/Ο(ΤΙΜΗ ΚΙΛΟΥ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,xalkiadakis,6.9
1501,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ ΟΛΛΑΝΔΙΑΣ Μ/Ο(ΤΙΜΗ ΚΙΛΟΥ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,marketin,6.59
1501,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ ΟΛΛΑΝΔΙΑΣ Μ/Ο(ΤΙΜΗ ΚΙΛΟΥ,27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,synka,7.4
1502,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ Μ/Ο ΕΛΛΗΝΙΚΟΣ(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,xalkiadakis,7.4
1502,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ Μ/Ο ΕΛΛΗΝΙΚΟΣ(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,marketin,6.98
1502,ΧΟΙΡΙΝΟΣ ΛΑΙΜΟΣ Μ/Ο ΕΛΛΗΝΙΚΟΣ(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,synka,7.4
1601,ΜΠΟΥΤΙ ΧΟΙΡ. ΟΛΛΑΝ. ΝΩΠΟ Α/Ο Α/Δ(Τ. Κ),27-06-2025,ανά κιλ,"Φρέσκο Κρέας, Φρέσκο Χοιρινό, Μπριζόλες χοιρινές","[410, 421, 422]",False,False,Ν/Α,302.0,marketin,5.99
