CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
31,19045,’νηθος,0.68,0.68,19045.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
21,19046,Σπανάκι,2.95,2.95,19046.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
13,19052,Αγγούρια,1.35,1.35,19052.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
7.3,19066,Μήλα Starkin Delicious,2.95,2.95,19066.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
32,19067,Σέλινο,0.85,0.85,19067.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
20,19071,Κρεμμύδια φρέσκα,0.78,0.78,19071.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
27,19076,Μπρόκολο,3.95,3.95,19076.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
4,19100,Πορτοκάλια Βαλέντσια,1.25,1.25,19100.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
17.2,19116,Πατάτες εγχώριες,1.16,1.16,19116.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
15,19119,Μαρούλια,1.05,1.05,19119.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
7.1,19124,Μήλα Golden Delicious,2.69,2.69,19124.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
19,19130,Κρεμμύδια ξερά,0.92,0.92,19130.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
9,19173,Μανιτάρια,4.49,4.49,19173.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
23,19185,Καρότα,0.98,0.98,19185.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
3,19213,Μπανάνες,1.8,1.8,19213.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
28.1,19806,Πιπεριές χονδρές,3.2,3.2,19806.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
1,19921,Σταφύλια,5.69,5.69,19921.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
25,19935,Λάχανα,0.88,1.28,19935.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
8,19953,Ρόδια,4.58,4.58,19953.jpg,Φρούτα,Kg,,bazaar,02-06-2026,08-06-2026,,
33,19962,Φασολάκια,5.6,5.6,19962.jpg,Λαχανικά,Kg,,bazaar,02-06-2026,08-06-2026,,
18,5202336028665,Σκόρδα (κομμάτι),0.55,0.55,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,02-06-2026,08-06-2026,,
,397331,"ΣΤΑΦΥΛΙΑ ΣΟΥΛΤΑΝΙΝΑ Α"" ΕΓΧΩΡΙΑ",,,default.png,,,,galaxias,02-06-2026,08-06-2026,1,1.98
,80032109,ΣΤΑΦΥΛΙΑ ΑΤΤΙΚΗ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,1,2.98
,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,2,2.3
,397141,ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,2,2.5
,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,3,1.95
,397179,ΠΟΡΤΟΚΑΛΙΑ ΕΓΧΩΡΙΑ ΔΙΧΤΥ ΚΙΛΟ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,4,1.14
,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,6,2.28
,397314,ΑΧΛΑΔΙΑ ΚΟΣΙΑ ΕΓΧΩΡΙΑ ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,6,2.9
,397315,ΑΧΛΑΔΙΑ ΣΑΝΤΕΣ Α' ΕΓΧΩΡΙΑ ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,6,2.24
,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,7,2.28
,397067,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,7.1,2.1
,397172,ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,7.2,1.98
,397167,ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,7.3,1.95
,397170,ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,7.4,1.98
,397231,ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,8,4.19
,397150,ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓΩΓΗΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,9,1.95
,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,11,1.9
,397255,ΝΤΟΜΑΤΙΝΙΑ ΕΓΧΩΡΙΑ ΚΙΛ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,12,6.95
,80022643,ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ,,,default.png,,,,galaxias,02-06-2026,08-06-2026,12,3.75
