CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,21-10-2025,27-10-2025,
11,7063667,Τομάτες,1.8,3.75,ntomates.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
12,7063697,Τοματίνια,4.49,2.49,ntomatinia.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
13,7063652,Αγγούρια,0.65,1.94,aggouria.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
14,7063710,Κολοκύθια,2.75,4.59,kolokuthia.jpg,Λαχανικά,kg,,ab,21-10-2025,27-10-2025,
15,7063845,Μαρούλια,0.72,2.12,maroulia.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
17.1,7064162,Πατάτες Κύπρου,1.53,1.53,patates_kuprou.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
17.2,7335944,Πατάτες εγχώριες,0.67,2.44,patates_egxories.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
18,7064239,Σκόρδα (κομμάτι),0.63,0.63,skorda.jpg,Λαχανικά,τμχ.,,ab,21-10-2025,27-10-2025,
19,7064213,Κρεμμύδια ξερά,0.92,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
2,7062943,Λεμόνια,2.35,4.46,lemonia.jpg,Φρούτα,Kg,,ab,21-10-2025,27-10-2025,
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
21,7063904,Σπανάκι,2.05,6.15,spanaki.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
22,7063905,Παντζάρια,1.48,4.52,pantzaria.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
23,7063924,Καρότα,0.79,2.23,karota.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
25,7063804,Λάχανα,0.58,1.84,laxana.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
26,7063767,Κουνουπίδια,2.35,6.28,kounoupidia.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
27,7063823,Μπρόκολο,2.75,4.97,mprokolo.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
28.1,7063729,Πιπεριές χονδρές,2.05,2.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
28.2,7063738,Πιπεριές μακριές,2.45,2.45,piperies_makries.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
29,7063831,Μελιτζάνες,1.45,4.62,melitzanes.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,21-10-2025,27-10-2025,
30,7064307,Μαϊντανός,0.67,1.89,maintanos.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
31,7064310,Άνηθος,0.67,2.35,anithos.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
33,7063776,Φασολάκια ,3.28,3.28,fasolakia.jpg,Λαχανικά,Kg,,ab,21-10-2025,27-10-2025,
