CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
11,7063667,Τομάτες,1.55,2.73,ntomates.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
12,7063697,Τοματίνια,3.25,8.76,ntomatinia.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
13,7063652,Αγγούρια,0.45,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
14,7063710,Κολοκύθια,1.53,5.36,kolokuthia.jpg,Λαχανικά,kg,,ab,10-06-2025,16-06-2025
15,7063845,Μαρούλια,0.58,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
17.2,7335944,Πατάτες εγχώριες,0.73,2.75,patates_egxories.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,10-06-2025,16-06-2025
19,7064213,Κρεμμύδια ξερά,1.25,2.25,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
2,7062943,Λεμόνια,1.65,2.88,lemonia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
20,7064229,Κρεμμύδια φρέσκα,2.36,2.36,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
21,7063904,Σπανάκι,1.87,5.72,spanaki.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
22,7063905,Παντζάρια,1.39,4.79,pantzaria.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
23,7063924,Καρότα,0.74,2.08,karota.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
25,7063804,Λάχανα,0.89,1.89,laxana.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
26,7063767,Κουνουπίδια,1.75,5.38,kounoupidia.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
27,7063823,Μπρόκολο,2.37,5.85,mprokolo.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
28.1,7063729,Πιπεριές χονδρές,1.98,4.48,piperies_xondres.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
28.2,7063738,Πιπεριές μακριές,1.78,1.78,piperies_makries.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
29,7063831,Μελιτζάνες,1.73,4.15,melitzanes.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
30,7064307,Μαϊντανός,0.62,1.59,maintanos.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
31,7064310,Άνηθος,0.62,2.26,anithos.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
32,7064311,Σέλινο,1.83,2.99,selino.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
33,7063776,Φασολάκια ,3.78,3.78,fasolakia.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.09,1.75,portokalia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
6,7125570,Αχλάδια,1.49,6.22,axladia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
7.1,7062828,Μήλα Golden Delicious,1.89,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
7.2,7062840,Μήλα Granny Smith ,1.68,4.43,mila_granny_smith.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
7.3,7633877,Μήλα Starkin Delicious,1.39,4.57,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
7.4,7062808,Μήλα Gala,1.95,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
8,7063274,Ρόδια,2.29,2.71,rodia.jpg,Φρούτα,Kg,,ab,10-06-2025,16-06-2025
9,7064279,Μανιτάρια,1.42,1.37,manitaria.jpg,Λαχανικά,Kg,,ab,10-06-2025,16-06-2025
18,16590,Σκόρδα (κομμάτι),0.38,0.38,16590.jpg,Λαχανικά,τμχ.,,bazaar,10-06-2025,16-06-2025
22,19002,Παντζάρια,1.28,1.28,19002.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
11,19004,Τομάτες,1.6,1.6,19004.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
14,19008,Κολοκύθια,1.6,1.6,19008.jpg,Λαχανικά,kg,,bazaar,10-06-2025,16-06-2025
7.2,19023,Μήλα Granny Smith,1.76,1.76,19023.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
29,19034,Μελιτζάνες,1.92,1.92,19034.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
28.2,19036,Πιπεριές μακριές,1.92,2.4,19036.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
6,19042,Αχλάδια,2.16,2.16,19042.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
30,19044,Μαϊντανός,0.4,0.4,19044.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
31,19045,’νηθος,0.56,0.56,19045.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
21,19046,Σπανάκι,3.2,3.2,19046.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
13,19052,Αγγούρια,1.36,1.36,19052.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
7.3,19066,Μήλα Starkin Delicious,2.4,2.4,19066.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
32,19067,Σέλινο,0.4,0.4,19067.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
20,19071,Κρεμμύδια φρέσκα,0.56,0.56,19071.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
27,19076,Μπρόκολο,4.16,4.16,19076.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
0,19107,Φρούτα,1.28,1.28,19107.jpg,,,,bazaar,10-06-2025,16-06-2025
15,19119,Μαρούλια,0.8,0.8,19119.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
7.1,19124,Μήλα Golden Delicious,2,2,19124.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
9,19173,Μανιτάρια,4.56,4.56,19173.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
23,19185,Καρότα,1.04,1.04,19185.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
19,19210,Κρεμμύδια ξερά,0.88,0.88,19210.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
3,19213,Μπανάνες,1.67,1.67,19213.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
17.2,19214,Πατάτες εγχώριες,1.04,1.04,19214.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
28.1,19806,Πιπεριές χονδρές,2.08,2.08,19806.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
1,19921,Σταφύλια,5.76,5.76,19921.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
25,19935,Λάχανα,1.09,1.49,19935.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
2,19938,Λεμόνια,2.08,2.08,19938.jpg,Φρούτα,Kg,,bazaar,10-06-2025,16-06-2025
33,19962,Φασολάκια,5.6,5.6,19962.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
16,5200374820104,Ρόκα,1.17,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,10-06-2025,16-06-2025
2,397141,ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ,2.38,2.38,,Φρούτα,Kg,,galaxias,10-06-2025,16-06-2025
3,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.48,1.85,,Φρούτα,Kg,,galaxias,10-06-2025,16-06-2025
4,397051,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ ΕΓΧΩΡΙΑ,1.19,1.19,,Φρούτα,Kg,,galaxias,10-06-2025,16-06-2025
5,397158,ΜΑΝΤΑΡΙΝΙΑ ΕΓΧΩΡΙΑ/ΕΙΣΑΓΩΓΗΣ,1.65,4.73,,Φρούτα,Kg,,galaxias,10-06-2025,16-06-2025
6,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,1.62,1.62,,Φρούτα,Kg,,galaxias,10-06-2025,16-06-2025
