CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
11,7063667,Τομάτες,1.94,2.99,ntomates.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
12,7063697,Τοματίνια,5.65,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
13,7063652,Αγγούρια,1.12,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
14,7063710,Κολοκύθια,3.15,7.05,kolokuthia.jpg,Λαχανικά,kg,,ab,24-02-2026,02-03-2026
15,7063845,Μαρούλια,1.29,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
17.1,7064162,Πατάτες Κύπρου,1.62,1.62,patates_kuprou.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
17.2,7335944,Πατάτες εγχώριες,0.79,2.08,patates_egxories.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
18,7064239,Σκόρδα (κομμάτι),0.62,0.62,skorda.jpg,Λαχανικά,τμχ.,,ab,24-02-2026,02-03-2026
19,7064213,Κρεμμύδια ξερά,0.9,2.08,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
2,7062943,Λεμόνια,1.98,2.15,lemonia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
20,7064229,Κρεμμύδια φρέσκα,2.79,2.79,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
21,7063904,Σπανάκι,2.29,5.1,spanaki.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
22,7063905,Παντζάρια,1.48,4.1,pantzaria.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
23,7063924,Καρότα,0.77,2.39,karota.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
25,7063804,Λάχανα,0.52,1.42,laxana.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
26,7063767,Κουνουπίδια,2.29,5.85,kounoupidia.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
27,7063823,Μπρόκολο,3,6.15,mprokolo.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
28.1,7063729,Πιπεριές χονδρές,3.98,4.35,piperies_xondres.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
28.2,7063738,Πιπεριές μακριές,3.98,3.98,piperies_makries.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
29,7063831,Μελιτζάνες,3.75,4.95,melitzanes.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
30,7064307,Μαϊντανός,0.75,1.75,maintanos.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
31,7064310,Άνηθος,0.78,1.98,anithos.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
32,7064311,Σέλινο,1.82,2.99,selino.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
33,7063776,Φασολάκια ,4.45,4.45,fasolakia.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.79,portokalia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
5,7062908,Μανταρίνια,2.09,2.92,mantarinia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
6,7125570,Αχλάδια,2.19,7.3,axladia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
7.1,7062828,Μήλα Golden Delicious,1.98,4.93,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
7.2,7062840,Μήλα Granny Smith ,1.98,4.93,mila_granny_smith.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
7.3,7633877,Μήλα Starkin Delicious,1.63,4.09,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
7.4,7062808,Μήλα Gala,1.98,4.59,mila_gala.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
8,7063274,Ρόδια,2.95,3.35,rodia.jpg,Φρούτα,Kg,,ab,24-02-2026,02-03-2026
9,7064279,Μανιτάρια,1.4,1.4,manitaria.jpg,Λαχανικά,Kg,,ab,24-02-2026,02-03-2026
1,1044,Σταφύλια  (Σε επιλεγμένα καταστήματα),5.69,5.98,1044.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
2,1140,Λεμόνια,1.81,1.99,1140.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
3,1000,Μπανάνες,1.57,2.29,1000.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
4,1005,Πορτοκάλια ,0.89,0.99,1005.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
5,790969,Μανταρίνια  (Σε επιλεγμένα καταστήματα),3.59,3.85,790969.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
6,1032,Αχλάδια,2.40,2.59,1032.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
7,1159,Μήλα,2.18,2.18,1159.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
7.1,1053,Μήλα Golden Delicious,1.99,2.19,1053.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
7.2,1057,Μήλα Granny Smith ,1.97,2.09,1057.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
7.3,1006,Μήλα Starkin Delicious,1.95,1.99,1006.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
8,1082,Ρόδια,4.39,4.39,1082.jpg,Φρούτα,Kg,,kritikos,24-02-2026,02-03-2026
9,1476,Μανιτάρια,4.78,5.54,1476.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
10,1058,Αγκινάρες  (Σε επιλεγμένα καταστήματα),3.50,3.80,1058.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
11,1009,Τομάτες,1.82,2.19,1009.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
12,718070,Τοματίνια,7.98,7.98,718070.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
13,1004,Αγγούρια,2.70,2.93,1004.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
14,1025,Κολοκύθια,2.16,2.98,1025.jpg,Λαχανικά,kg,,kritikos,24-02-2026,02-03-2026
15,1002,Μαρούλια  (Σε επιλεγμένα καταστήματα),2.19,2.07,1002.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
16,863566,Ρόκα,10.90,11.00,863566.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
17,1014,Πατάτες,0.81,0.85,1014.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
17.1,1848,Πατάτες Κύπρου,1.55,1.65,1848.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
17.2,705876,Πατάτες εγχώριες  (Σε επιλεγμένα καταστήματα),1.73,1.77,705876.jpg,Λαχανικά,Kg,,kritikos,24-02-2026,02-03-2026
17.3 ,1849,Πατάτες εισαγωγής,1.78,1.88,1849.jpg,,,,kritikos,24-02-2026,02-03-2026
18,718769,Σκόρδα (κομμάτι)  (Σε επιλεγμένα καταστήματα),7.45,7.95,718769.jpg,Λαχανικά,τμχ.,,kritikos,24-02-2026,02-03-2026
