CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,14-01-2025,20-01-2025
11,7063667,Τομάτες,2.35,2.73,ntomates.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
12,7063697,Τοματίνια,4.75,10.36,ntomatinia.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
13,7063652,Αγγούρια,0.63,1.95,aggouria.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
14,7063710,Κολοκύθια,2.58,5.99,kolokuthia.jpg,Λαχανικά,kg,,ab,14-01-2025,20-01-2025
15,7063845,Μαρούλια,0.77,1.38,maroulia.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
17.1,7064162,Πατάτες Κύπρου,1.86,1.86,patates_kuprou.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
17.2,7335944,Πατάτες εγχώριες,0.99,2.26,patates_egxories.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
17.3 ,7148993,Πατάτες εισαγωγής,0.95,0.95,,,,,ab,14-01-2025,20-01-2025
18,7064239,Σκόρδα (κομμάτι),0.67,0.67,skorda.jpg,Λαχανικά,τμχ.,,ab,14-01-2025,20-01-2025
19,7064213,Κρεμμύδια ξερά,0.73,1.66,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
2,7062943,Λεμόνια,1.09,2.2,lemonia.jpg,Φρούτα,Kg,,ab,14-01-2025,20-01-2025
20,7064229,Κρεμμύδια φρέσκα,2.47,2.47,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
21,7063904,Σπανάκι,1.93,4.83,spanaki.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
22,7063905,Παντζάρια,1.42,4.13,pantzaria.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
23,7063924,Καρότα,0.89,2.33,karota.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
25,7063804,Λάχανα,0.89,1.66,laxana.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
26,7063767,Κουνουπίδια,1.94,5.2,kounoupidia.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
27,7063823,Μπρόκολο,2.99,5.82,mprokolo.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
28.1,7063729,Πιπεριές χονδρές,2.4,3.39,piperies_xondres.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
28.2,7063738,Πιπεριές μακριές,2.65,2.65,piperies_makries.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
29,7063831,Μελιτζάνες,2.78,3.55,melitzanes.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,14-01-2025,20-01-2025
30,7064307,Μαϊντανός,0.66,1.63,maintanos.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
31,7064310,Άνηθος,0.66,1.63,anithos.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
32,7064311,Σέλινο,2.05,3.39,selino.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
33,7063776,Φασολάκια ,4.56,4.56,fasolakia.jpg,Λαχανικά,Kg,,ab,14-01-2025,20-01-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.07,2.1,portokalia.jpg,Φρούτα,Kg,,ab,14-01-2025,20-01-2025
5,7062908,Μανταρίνια,1.69,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,14-01-2025,20-01-2025
