CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,5.99,stafilia.jpg,Φρούτα,Kg,,ab,26-08-2025,01-09-2025
11,7063667,Τομάτες,1.82,4.99,ntomates.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
12,7063697,Τοματίνια,3.59,2.39,ntomatinia.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
13,7063652,Αγγούρια,0.55,1.75,aggouria.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
14,7063710,Κολοκύθια,1.25,2.35,kolokuthia.jpg,Λαχανικά,kg,,ab,26-08-2025,01-09-2025
15,7063845,Μαρούλια,0.69,2.49,maroulia.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
17.1,7064162,Πατάτες Κύπρου,1.52,1.52,patates_kuprou.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
17.2,7335944,Πατάτες εγχώριες,0.68,2.63,patates_egxories.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,26-08-2025,01-09-2025
19,7064213,Κρεμμύδια ξερά,0.92,2.25,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
2,7062943,Λεμόνια,2.5,4.69,lemonia.jpg,Φρούτα,Kg,,ab,26-08-2025,01-09-2025
20,7064229,Κρεμμύδια φρέσκα,2.28,2.28,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
21,7063904,Σπανάκι,2.42,5.72,spanaki.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
22,7063905,Παντζάρια,1.4,4.5,pantzaria.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
23,7063924,Καρότα,0.82,2.12,karota.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
25,7063804,Λάχανα,0.65,1.89,laxana.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
26,7063767,Κουνουπίδια,2.31,5.48,kounoupidia.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
27,7063823,Μπρόκολο,3.05,5.78,mprokolo.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
28.1,7063729,Πιπεριές χονδρές,2.05,2.68,piperies_xondres.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
28.2,7063738,Πιπεριές μακριές,2.32,2.32,piperies_makries.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
29,7063831,Μελιτζάνες,1.35,4.1,melitzanes.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,26-08-2025,01-09-2025
30,7064307,Μαϊντανός,0.64,1.96,maintanos.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
31,7064310,Άνηθος,0.64,2.35,anithos.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
32,7064311,Σέλινο,1.68,2.99,selino.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
33,7063776,Φασολάκια ,3.13,3.13,fasolakia.jpg,Λαχανικά,Kg,,ab,26-08-2025,01-09-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.12,1.75,portokalia.jpg,Φρούτα,Kg,,ab,26-08-2025,01-09-2025
