CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,12-05-2026,18-05-2026,
11,7063667,Τομάτες,2.45,3.99,ntomates.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
12,7063697,Τοματίνια,5.69,2.79,ntomatinia.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
13,7063652,Αγγούρια,0.59,1.99,aggouria.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
14,7063710,Κολοκύθια,2.25,6.25,kolokuthia.jpg,Λαχανικά,kg,,ab,12-05-2026,18-05-2026,
15,7063845,Μαρούλια,0.97,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
16,7338136,Ρόκα,1.15,1.15,roka.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
17.1,7064162,Πατάτες Κύπρου,1.65,1.65,patates_kuprou.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
17.2,7335944,Πατάτες εγχώριες,0.8,2.5,patates_egxories.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
18,7064239,Σκόρδα (κομμάτι),0.64,0.64,skorda.jpg,Λαχανικά,τμχ.,,ab,12-05-2026,18-05-2026,
19,7064213,Κρεμμύδια ξερά,0.94,2.3,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
2,7062943,Λεμόνια,2.15,3.09,lemonia.jpg,Φρούτα,Kg,,ab,12-05-2026,18-05-2026,
20,7064229,Κρεμμύδια φρέσκα,2.87,2.87,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
21,7063904,Σπανάκι,2.09,4.29,spanaki.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
22,7063905,Παντζάρια,1.49,2.79,pantzaria.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
23,7063924,Καρότα,0.89,2.98,karota.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
24,7063936,Ραπανάκια,0.85,0.85,rapanakia.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
25,7063804,Λάχανα,0.59,1.59,laxana.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
26,7063767,Κουνουπίδια,2.35,5.89,kounoupidia.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
27,7063823,Μπρόκολο,3.98,7.29,mprokolo.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
28.1,7063729,Πιπεριές χονδρές,3.19,5.59,piperies_xondres.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
28.2,7063738,Πιπεριές μακριές,3.35,3.35,piperies_makries.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
29,7063831,Μελιτζάνες,2.15,5.79,melitzanes.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
3,7063298,Μπανάνες,1.88,2.09,bananes.jpg,Φρούτα,Kg,,ab,12-05-2026,18-05-2026,
30,7064307,Μαϊντανός,0.72,1.59,maintanos.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
31,7064310,Άνηθος,0.72,2.09,anithos.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
32,7064311,Σέλινο,1.89,2.99,selino.jpg,Λαχανικά,Kg,,ab,12-05-2026,18-05-2026,
