CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.44,Lemoni.png
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
11,7063667,Τομάτες,1.65,2.79,ntomates.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
12,7063697,Τοματίνια,3.45,8.76,ntomatinia.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
13,7063652,Αγγούρια,0.35,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
14,7063710,Κολοκύθια,1.79,4.99,kolokuthia.jpg,Λαχανικά,kg,,ab,13-05-2025,19-05-2025,,,,,,,
15,7063845,Μαρούλια,0.66,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
17.2,7335944,Πατάτες εγχώριες,0.8,2.78,patates_egxories.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
18,7064239,Σκόρδα (κομμάτι),0.65,0.68,skorda.jpg,Λαχανικά,τμχ.,,ab,13-05-2025,19-05-2025,,,,,,,
19,7064213,Κρεμμύδια ξερά,1.1,2.16,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
2,7062943,Λεμόνια,1.48,2.27,lemonia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
21,7063904,Σπανάκι,1.93,5.69,spanaki.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
22,7063905,Παντζάρια,1.35,4.79,pantzaria.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
23,7063924,Καρότα,0.64,2.09,karota.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
25,7063804,Λάχανα,0.98,1.43,laxana.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
26,7063767,Κουνουπίδια,1.98,5.3,kounoupidia.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
27,7063823,Μπρόκολο,2.57,5.67,mprokolo.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
28.1,7063729,Πιπεριές χονδρές,2.57,5.23,piperies_xondres.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
28.2,7063738,Πιπεριές μακριές,2.4,2.4,piperies_makries.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
29,7063831,Μελιτζάνες,1.86,5.88,melitzanes.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
30,7064307,Μαϊντανός,0.67,1.26,maintanos.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
31,7064310,Άνηθος,0.67,2.26,anithos.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
32,7064311,Σέλινο,1.83,2.99,selino.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
33,7063776,Φασολάκια ,5.53,5.53,fasolakia.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
4,7062871,Πορτοκάλια Βαλέντσια ,1.09,1.75,portokalia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
6,7125570,Αχλάδια,1.58,6.22,axladia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
7.1,7062828,Μήλα Golden Delicious,1.89,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
7.2,7062840,Μήλα Granny Smith ,1.73,4.36,mila_granny_smith.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
7.3,7633877,Μήλα Starkin Delicious,1.29,4.15,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
7.4,7062808,Μήλα Gala,1.95,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
8,7063274,Ρόδια,2.29,2.71,rodia.jpg,Φρούτα,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
9,7064279,Μανιτάρια,1.37,1.37,manitaria.jpg,Λαχανικά,Kg,,ab,13-05-2025,19-05-2025,,,,,,,
22,19002,Παντζάρια,0.98,1.28,19002.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
11,19004,Τομάτες,1.45,1.75,19004.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
14,19008,Κολοκύθια,1.45,1.58,19008.jpg,Λαχανικά,kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
17.1,19014,Πατάτες Κύπρου,1.78,1.78,19014.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
7.2,19023,Μήλα Granny Smith,1.79,1.89,19023.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
26,19028,Κουνουπίδια,2.95,3.2,19028.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
29,19034,Μελιτζάνες,1.15,2.09,19034.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
28.2,19036,Πιπεριές μακριές,2.24,3.95,19036.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
6,19042,Αχλάδια,1.85,1.95,19042.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
30,19044,Μαϊντανός,0.45,0.45,19044.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
31,19045,’νηθος,0.56,0.59,19045.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
21,19046,Σπανάκι,1.94,2.49,19046.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
13,19052,Αγγούρια,0.39,1.15,19052.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
7.3,19066,Μήλα Starkin Delicious,1.79,1.9,19066.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
32,19067,Σέλινο,0.5,2.25,19067.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
20,19071,Κρεμμύδια φρέσκα,0.65,1.94,19071.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
8,19074,Ρόδια,6.35,6.35,19074.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
27,19076,Μπρόκολο,2.65,3.84,19076.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
4,19100,Πορτοκάλια Βαλέντσια,1.19,1.19,19100.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
0,19107,Φρούτα,1.28,1.28,19107.jpg,,,,bazaar,13-05-2025,19-05-2025,,,,,,,
15,19119,Μαρούλια,0.79,0.96,19119.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
7.1,19124,Μήλα Golden Delicious,2.1,2.1,19124.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
19,19130,Κρεμμύδια ξερά,0.89,1.07,19130.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
9,19173,Μανιτάρια,2.5,4.56,19173.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
23,19185,Καρότα,0.45,1.12,19185.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
3,19213,Μπανάνες,1.65,1.79,19213.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
17.2,19214,Πατάτες εγχώριες,1.36,1.36,19214.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
28.1,19806,Πιπεριές χονδρές,2.5,2.69,19806.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
25,19935,Λάχανα,1.09,1.6,19935.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
2,19938,Λεμόνια,1.28,1.45,19938.jpg,Φρούτα,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
33,19962,Φασολάκια,4.78,4.78,19962.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
17.3,19986,Πατάτες εισαγωγής,0.79,0.93,19986.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
16,5200374820104,Ρόκα,1.09,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
18,5202336028665,Σκόρδα (κομμάτι),0.45,0.45,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,13-05-2025,19-05-2025,,,,,,,
12,5208086436118,Τοματίνια,1.75,3.98,5208086436118.jpg,Λαχανικά,Kg,,bazaar,13-05-2025,19-05-2025,,,,,,,
2,ΛΕΜΟΝΙΑ,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,1.35,1.35,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
3,ΜΠΑΝΑΝΕΣ,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.48,1.85,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
4,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ,397051,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ ΕΓΧΩΡΙΑ,1.18,1.18,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
5,ΜΑΝΤΑΡΙΝΙΑ,397158,ΜΑΝΤΑΡΙΝΙΑ ΕΓΧΩΡΙΑ/ΕΙΣΑΓΩΓΗΣ,1.65,4.73,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
6,ΑΧΛΑΔΙΑ,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,1.78,1.78,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
7,ΜΗΛΑ,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,2.38,2.38,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
7.1,ΜΗΛΑ GOLDEN DELICIOUS,397067,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ,1.87,1.87,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
7.2,ΜΗΛΑ GRANNY SMITH,397172,ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ,1.83,2.00,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
7.3,ΜΗΛΑ STARKIN DELICIUS,397167,ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ,1.48,2.02,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
7.4,ΜΗΛΑ GALA,397170,ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ,1.7,1.7,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
8,ΡΟΔΙΑ,397231,ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ,5.5,5.5,Φρούτα,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
