CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.44,Lemoni.png
9,ΜΑΝΙΤΑΡΙΑ,397150,ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓΩΓΗΣ,1.66,1.66,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
10,ΑΓΚΙΝΑΡΕΣ,80044420,ΑΓΓΙΝΑΡΕΣ ΤΕΜΑΧΙΟ ΕΓΧΩΡΙΕΣ,1.65,1.65,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
11,ΤΟΜΑΤΕΣ,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ,1.68,2.35,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
12,ΤΟΜΑΤΙΝΙΑ,80022643,ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ,3.98,3.98,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
12,ΤΟΜΑΤΙΝΙΑ,397255,ΝΤΟΜΑΤΙΝΙΑ ΕΓΧΩΡΙΑ ΚΙΛ,4.16,4.16,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
13,ΑΓΓΟΥΡΙΑ,397004,ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ ,0.35,0.35,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
14,ΚΟΛΟΚΥΘΙΑ,397110,ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ,1.78,1.78,Λαχανικά,kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
15,ΜΑΡΟΥΛΙΑ,397161,ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.75,0.75,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
17.1,ΠΑΤΑΤΕΣ ΚΥΠΡΟΥ,397196,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ,1.85,1.85,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
17.2,ΠΑΤΑΤΕΣ ΕΓΧΩΡΙΕΣ,397197,ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α',0.89,0.89,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
17.3,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ,80029541,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΑΙΓΥΠΤΟΥ,0.89,0.89,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
18,ΣΚΟΡΔΑ (ΚΟΜΜΑΤΙ),397273,ΣΚΟΡΔΑ ΕΙΣΑΓΩΓΗΣ ΤΕΜΑΧΙΑ,0.68,0.68,Λαχανικά,τμχ.,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
19,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ,397125,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ,1.15,1.15,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
20,ΚΡΕΜΜΥΔΙΑ ΦΡΕΣΚΑ,397123,ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.82,0.82,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
21,ΣΠΑΝΑΚΙ,397246,ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ,1.85,1.85,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
22,ΠΑΝΤΖΑΡΙΑ,397198,ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ,1.35,1.35,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
23,ΚΑΡΟΤΑ,397088,ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ,0.85,0.85,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
24,ΡΑΠΑΝΑΚΙΑ,397221,ΡΑΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ  ΤΕΜΑΧΙΑ,1.48,1.48,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
25,ΛΑΧΑΝΑ,397132,ΛΑΧΑΝΑ ΕΓΧΩΡΙΑ,1.00,1.00,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
26,ΚΟΥΝΟΥΠΙΔΙΑ,397117,ΚΟΥΝΟΥΠΙΔΙΑ ΕΓΧΩΡΙΑ,1.7,1.7,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
27,ΜΠΡΟΚΟΛΟ,80019785,ΜΠΡΟΚΟΛΟ ΠΑΓΟΥ ΕΓΧΩΡΙΟ,3.36,3.36,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
27,ΜΠΡΟΚΟΛΟ,397186,ΜΠΡΟΚΟΛΑ ΕΓΧΩΡΙΑ,2.35,2.35,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
28,ΠΙΠΕΡΙΕΣ,397207,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ ΕΓΧΩΡΙΕΣ,2.45,2.45,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
28.1,ΠΙΠΕΡΙΕΣ ΧΟΝΔΡΕΣ,80013506,ΠΙΠΕΡΙΕΣ ΝΤΟΛΜΑ ΕΓΧΩΡΙΕΣ ΚΙΛ,2.89,2.89,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
28.2,ΠΙΠΕΡΙΕΣ ΜΑΚΡΙΕΣ,397206,ΠΙΠΕΡΙΕΣ ΚΕΡΑΤΑ Α' ΕΓΧΩΡΙΕΣ,2.51,2.51,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
29,ΜΕΛΙΤΖΑΝΕΣ,397263,ΜΕΛΙΤΖΑΝΕΣ ΦΛΑΣΚΕΣ ΕΓΧΩΡΙΕΣ,1.98,1.98,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
30,ΜΑ?ΝΤΑΝΟΣ,397148,ΜΑΙΝΤΑΝΟΣ ΕΓΧΩΡΙΟΣ ΤΕΜ,0.7,0.7,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
31,ΑΝΙΘΟΣ,397015,ΑΝΙΘΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.8,0.8,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
32,ΣΕΛΙΝΟ,80023018,ΣΕΛΙΝΟ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.6,0.6,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
33,ΦΑΣΟΛΑΚΙΑ,397260,ΦΑΣΟΛΙΑ ΜΠΑΡΜΠΟΥΝΙΑ ΕΓΧΩΡΙΑ,4.98,5.5,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
33,ΦΑΣΟΛΑΚΙΑ,397261,ΦΑΣΟΛΙΑ ΤΣΑΟΥΛΙΑ ΕΓΧΩΡΙΑ,4.6,4.6,Λαχανικά,Kg,,galaxias,13-05-2025,19-05-2025,[''],,,,,,
2,2130013000000,ΛΕΜΟΝΙΑ,1.35,1.35,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
3,2130012000000,ΜΠΑΝΑΝΕΣ,1.79,1.79,3_Mpananes.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
4,2130115000000,ΠΟΡΤΟΚΑΛΙΑ,1.09,1.69,4_Portokalia_Valencia.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
6,2130025000000,ΑΧΛΑΔΙΑ,1.19,1.89,6_Achladia_Kristalia.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
7.1,2130052000000,ΜΗΛΑ ΓΚΟΛΝΤΕΝ,1.79,1.79,7.1_Mila_Golden.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
7.2,2130009000000,ΜΗΛΑ ΠΡΑΣΙΝΑ,1.79,1.79,7.2_Mila_Granny_Smith.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
7.3,2130006000000,ΜΗΛΑ ΣΤΑΡΚΙΝ,1.79,1.79,7.3_Mila_Starkin_Kokkina.jpg,Φρούτα,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
9,5200120110015,ΜΑΝΙΤΑΡΙΑ 500ΓΡ,2.45,2.45,9_Manitaria_Leuka_sisk_500g.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
11,2130010000000,ΤΟΜΑΤΕΣ,1.59,1.59,11_Tomates.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
12,5200107690028,ΤΟΜΑΤΙΝΙΑ ΣΥΣΚ. 250ΓΡ,1.59,1.59,12_Tomatinia_250g.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
13,2130028000000,ΑΓΓΟΥΡΙΑ,0.35,0.35,13_Aggouria.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
14,2130040000000,ΚΟΛΟΚΥΘΙΑ,1.59,1.59,14_Kolokithia.jpg,Λαχανικά,kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
15,2130037000000,ΜΑΡΟΥΛΙ ΣΓΟΥΡΟ ΤΕΜΑΧΙΟ,0.59,0.59,15_Sgouro_Marouli_Temaxio.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
17.3,2130153000000,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΜΕΝΕΣ ΣΕ ΔΙΧΤΥ,0.95,0.95,17.2_Patates_Egxories.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
18,3838900274224,ΣΚΟΡΔΑ ΣΕ ΔΙΧΤΥ 3ΤΕΜ,1.65,1.65,18_Skorda_3temaxia.jpg,Λαχανικά,τμχ.,,egnatia,13-05-2025,19-05-2025,,,,,,,
19,2130005000000,ΚΡΕΜΜΥΔΙΑ ΣΕ ΔΙΧΤΥ,0.99,0.99,19_Kremmidia_Aspra.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
20,2130036000000,ΚΡΕΜΜΥΔΑΚΙ ΦΡΕΣΚΟ,0.79,0.79,20_Kremmidaki_Fresko_Temaxio.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
23,2130014000000,ΚΑΡΟΤΑ ΣΕ ΣΑΚΟΥΛΑΚΙ,0.92,0.92,23_Karota.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
24,5200378100066,ΡΕΠΑΝΑΚΙΑ 125ΓΡ,0.89,0.89,24_Rapanakia_250g.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
25,2130019000000,ΛΑΧΑΝΑ,0.84,0.84,25_Lahano.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
28.1,2130024000000,ΠΙΠΕΡΙΕΣ ΓΕΜΙΣΤΕΣ,2.69,2.69,28.1_Piperies_Xondres_Gia_Gemista.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
28.2,2130033000000,ΠΙΠΕΡΙΕΣ ΓΛΥΚΕΣ,2.49,2.49,28.1_Piperies_Makries_Glikes.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
29,2130022000000,ΜΕΛΙΤΖΑΝΕΣ,2.09,2.09,29_Melitzanes.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
30,2130016000000,ΜΑΙΝΔΑΝΟΣ,0.49,0.49,30_Maindanos_Temaxio.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
31,2130017000000,ΑΝΙΘΟΣ,0.65,0.65,31_Anithos_Temaxio.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
32,2130031000000,ΣΕΛΙΝΟ,2.49,2.49,32_Selino.jpg,Λαχανικά,Kg,,egnatia,13-05-2025,19-05-2025,,,,,,,
1,1045,Σταφύλια (Σε επιλεγμένα καταστήματα),5.30,5.99,1045.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
2,1140,Λεμόνια (Σε επιλεγμένα καταστήματα),1.30,1.69,1140.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
2,1040,Λεμόνια Εισαγωγής (Σε επιλεγμένα καταστήματα),1.99,2.19,1040.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
3,1000,Μπανάνες,1.50,2.29,1000.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
4,1042,Πορτοκάλια ,0.98,1.29,1042.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
5,790969,Μανταρίνια (Σε επιλεγμένα καταστήματα),2.99,2.99,790969.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
6,1032,Αχλάδια,1.69,2.59,1032.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
7,1006,Μήλα,1.79,1.99,1006.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
7.1,1053,Μήλα Golden Delicious (Σε επιλεγμένα καταστήματα),1.89,2.29,1053.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
7.2,1057,Μήλα Granny Smith ,1.79,1.99,1057.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
8,1082,Ρόδια (Σε επιλεγμένα καταστήματα),6.59,6.59,1082.jpg,Φρούτα,Kg,,kritikos,13-05-2025,19-05-2025,,,,,,,
