CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
11,7063667,Τομάτες,2.49,4.84,ntomates.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
12,7063697,Τοματίνια,6.97,13.6,ntomatinia.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
13,7063652,Αγγούρια,0.58,2.79,aggouria.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
14,7063710,Κολοκύθια,1.58,5.75,kolokuthia.jpg,Λαχανικά,kg,,ab,12-11-2024,18-11-2024
15,7063845,Μαρούλια,0.8,1.76,maroulia.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
17.1,7064162,Πατάτες Κύπρου,1.72,1.72,patates_kuprou.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
17.2,7335944,Πατάτες εγχώριες,0.92,2.26,patates_egxories.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,12-11-2024,18-11-2024
19,7064213,Κρεμμύδια ξερά,0.65,1.73,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
2,7062943,Λεμόνια,1.49,2.94,lemonia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
20,7064229,Κρεμμύδια φρέσκα,2.29,2.29,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
21,7063904,Σπανάκι,2.04,4.25,spanaki.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
22,7063905,Παντζάρια,1.65,3.76,pantzaria.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
23,7063924,Καρότα,0.93,2.46,karota.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
25,7063804,Λάχανα,0.92,1.66,laxana.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
26,7063767,Κουνουπίδια,2.58,6.39,kounoupidia.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
27,7063823,Μπρόκολο,3.17,5.57,mprokolo.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
28.1,7063729,Πιπεριές χονδρές,2.99,4.79,piperies_xondres.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
28.2,7063738,Πιπεριές μακριές,2.96,2.96,piperies_makries.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
29,7063831,Μελιτζάνες,1.62,4.79,melitzanes.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
3,7063298,Μπανάνες,1.85,2.08,bananes.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
30,7064307,Μαϊντανός,0.72,1.89,maintanos.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
31,7064310,Άνηθος,0.72,2.09,anithos.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
32,7064311,Σέλινο,2.22,3.39,selino.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
33,7063776,Φασολάκια ,2.92,2.92,fasolakia.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
4,7062871,Πορτοκάλια Βαλέντσια ,1.25,2.68,portokalia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
5,7062908,Μανταρίνια,2.95,3.35,mantarinia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
6,7125570,Αχλάδια,1.67,6.22,axladia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
7.1,7062828,Μήλα Golden Delicious,2.04,4.39,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
7.2,7062840,Μήλα Granny Smith ,1.89,4.25,mila_granny_smith.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
7.3,7633877,Μήλα Starkin Delicious,1.26,4.25,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
7.4,7062808,Μήλα Gala,1.79,4.25,mila_gala.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
8,7063274,Ρόδια,2.78,3.47,rodia.jpg,Φρούτα,Kg,,ab,12-11-2024,18-11-2024
9,7064279,Μανιτάρια,1.31,1.31,manitaria.jpg,Λαχανικά,Kg,,ab,12-11-2024,18-11-2024
22,19002,Παντζάρια,0.98,1.29,19002.jpg,Λαχανικά,Kg,,bazaar,12-11-2024,18-11-2024
11,19004,Τομάτες,2.95,3.5,19004.jpg,Λαχανικά,Kg,,bazaar,12-11-2024,18-11-2024
13,19006,Αγγούρια,0.45,0.6,19006.jpg,Λαχανικά,Kg,,bazaar,12-11-2024,18-11-2024
