CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,PICE_MAX
31,19045,’νηθος,0.59,0.65,19045.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
21,19046,Σπανάκι,1.94,2.72,19046.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
13,19052,Αγγούρια,0.39,1.15,19052.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
7.3,19066,Μήλα Starkin Delicious,1.79,2.65,19066.jpg,Φρούτα,Kg,,bazaar,24-06-2025,30-06-2025,
32,19067,Σέλινο,0.5,2.25,19067.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
20,19071,Κρεμμύδια φρέσκα,0.65,1.94,19071.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
8,19074,Ρόδια,6.35,7.52,19074.jpg,Φρούτα,Kg,,bazaar,24-06-2025,30-06-2025,
27,19076,Μπρόκολο,2.95,3.85,19076.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
0,19107,Φρούτα,1.15,1.18,19107.jpg,,,,bazaar,24-06-2025,30-06-2025,
15,19119,Μαρούλια,0.75,0.79,19119.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
17.3,19120,Πατάτες εισαγωγής,0.79,0.79,19120.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
7.1,19124,Μήλα Golden Delicious,2.29,2.29,19124.jpg,Φρούτα,Kg,,bazaar,24-06-2025,30-06-2025,
9,19173,Μανιτάρια,2.5,4.39,19173.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
23,19185,Καρότα,0.45,0.85,19185.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
19,19210,Κρεμμύδια ξερά,0.89,0.93,19210.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
3,19213,Μπανάνες,1.65,1.79,19213.jpg,Φρούτα,Kg,,bazaar,24-06-2025,30-06-2025,
17.2,19214,Πατάτες εγχώριες,0.79,1.12,19214.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
28.1,19806,Πιπεριές χονδρές,1.85,3.49,19806.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
1,19921,Σταφύλια,5.29,5.49,19921.jpg,Φρούτα,Kg,,bazaar,24-06-2025,30-06-2025,
25,19935,Λάχανα,0.79,1.49,19935.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
33,19962,Φασολάκια,4.37,4.37,19962.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
16,5200374820104,Ρόκα,1.09,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
18,5202336028665,Σκόρδα (κομμάτι),0.4,0.4,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,24-06-2025,30-06-2025,
12,5208086436118,Τοματίνια,1.75,3.65,5208086436118.jpg,Λαχανικά,Kg,,bazaar,24-06-2025,30-06-2025,
2,397141,ΛΕΜΟΝΙΑ ΕΙΣΑΓΩΓΗΣ,2.38,2.38,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
3,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.48,1.85,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
4,397051,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ ΕΓΧΩΡΙΑ,1.19,1.19,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
5,397158,ΜΑΝΤΑΡΙΝΙΑ ΕΓΧΩΡΙΑ/ΕΙΣΑΓΩΓΗΣ,1.65,4.73,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
6,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,1.62,1.62,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
7,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,2.2,2.2,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
7.1,397067,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ,2.08,2.08,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
7.2,397172,ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ,1.74,1.74,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
7.3,397167,ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ,1.53,1.53,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
7.4,397170,ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ,1.7,1.7,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
8,397231,ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ,5.4,5.4,,Φρούτα,Kg,,galaxias,24-06-2025,30-06-2025,
9,397150,ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓΩΓΗΣ,1.55,1.55,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
10,80044420,ΑΓΓΙΝΑΡΕΣ ΤΕΜΑΧΙΟ ΕΓΧΩΡΙΕΣ,1.65,1.65,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
11,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ,1.6,1.6,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
11,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ ΔΡΑΜΑΣ/ΚΑΡΔΙΤΣΑΣ ΥΔΡΟΠΟΝΙΑΣ,1.94,1.94,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
12,80022643,ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ,3.74,3.74,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
12,397255,ΝΤΟΜΑΤΙΝΙΑ ΕΓΧΩΡΙΑ ΚΙΛ,3.74,3.74,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
13,397004,ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ ,0.3,0.3,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
14,397110,ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ,1.35,1.35,,Λαχανικά,kg,,galaxias,24-06-2025,30-06-2025,
15,397161,ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.64,0.64,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
17.1,397196,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ,1.75,1.75,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
17.2,397197,ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α',0.7,0.7,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
17.3,80029541,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΑΙΓΥΠΤΟΥ,1.08,1.08,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
18,397243,ΣΚΟΡΔΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΑ,0.6,0.6,,Λαχανικά,τμχ.,,galaxias,24-06-2025,30-06-2025,
19,397125,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ,0.9,0.9,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
20,397123,ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.78,0.78,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
21,397246,ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ,1.87,1.87,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
22,397198,ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ,1.4,1.4,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
23,397088,ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ,0.79,0.79,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
24,397221,ΡΑΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ  ΤΕΜΑΧΙΑ,1.48,1.48,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
25,397132,ΛΑΧΑΝΑ ΕΓΧΩΡΙΑ,0.75,0.75,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
26,397117,ΚΟΥΝΟΥΠΙΔΙΑ ΕΓΧΩΡΙΑ,1.58,1.58,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
27,80019785,ΜΠΡΟΚΟΛΟ ΠΑΓΟΥ ΕΓΧΩΡΙΟ,3.14,3.14,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
27,397186,ΜΠΡΟΚΟΛΑ ΕΓΧΩΡΙΑ,2.55,2.55,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
28,397207,ΠΙΠΕΡΙΕΣ ΠΡΑΣΙΝΕΣ ΕΓΧΩΡΙΕΣ,2.15,2.15,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
28.1,80013506,ΠΙΠΕΡΙΕΣ ΝΤΟΛΜΑ ΕΓΧΩΡΙΕΣ ΚΙΛ,1.85,1.85,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
28.2,397206,ΠΙΠΕΡΙΕΣ ΚΕΡΑΤΑ Α' ΕΓΧΩΡΙΕΣ,1.85,1.85,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
29,397263,ΜΕΛΙΤΖΑΝΕΣ ΦΛΑΣΚΕΣ ΕΓΧΩΡΙΕΣ,1.51,1.51,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
30,397148,ΜΑΙΝΤΑΝΟΣ ΕΓΧΩΡΙΟΣ ΤΕΜ,0.7,0.7,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
31,397015,ΑΝΙΘΑ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.8,0.8,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
32,80023018,ΣΕΛΙΝΟ ΕΓΧΩΡΙΑ ΤΕΜΑΧΙΟ,0.6,0.6,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
33,397260,ΦΑΣΟΛΙΑ ΜΠΑΡΜΠΟΥΝΙΑ ΕΓΧΩΡΙΑ,3.2,3.2,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
33,397261,ΦΑΣΟΛΙΑ ΤΣΑΟΥΛΙΑ ΕΓΧΩΡΙΑ,2.98,2.98,,Λαχανικά,Kg,,galaxias,24-06-2025,30-06-2025,
2,2130013000000,ΛΕΜΟΝΙΑ,2.39,,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,2.39
3,2130012000000,ΜΠΑΝΑΝΕΣ,1.79,,3_Mpananes.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.79
4,2130115000000,ΠΟΡΤΟΚΑΛΙΑ,1.09,,4_Portokalia_Valencia.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.79
6,2130025000000,ΑΧΛΑΔΙΑ,1.19,,6_Achladia_Kristalia.jpg,Φρούτα,Kg,,egnatia,24-06-2025,30-06-2025,1.89
