CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
11,7063667,Τομάτες,1.89,2.89,ntomates.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
12,7063697,Τοματίνια,3.68,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
13,7063652,Αγγούρια,0.98,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
14,7063710,Κολοκύθια,1.95,6.3,kolokuthia.jpg,Λαχανικά,kg,,ab,23-12-2025,29-12-2025
15,7063845,Μαρούλια,0.79,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
17.1,7064162,Πατάτες Κύπρου,1.49,1.49,patates_kuprou.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
17.2,7335944,Πατάτες εγχώριες,0.83,2.05,patates_egxories.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,23-12-2025,29-12-2025
19,7064213,Κρεμμύδια ξερά,0.89,2.09,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
2,7062943,Λεμόνια,1.69,2.55,lemonia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
20,7064229,Κρεμμύδια φρέσκα,2.25,2.25,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
21,7063904,Σπανάκι,2.15,5.45,spanaki.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
22,7063905,Παντζάρια,1.48,3.99,pantzaria.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
23,7063924,Καρότα,0.77,2.25,karota.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
25,7063804,Λάχανα,0.49,1.47,laxana.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
26,7063767,Κουνουπίδια,1.59,5.25,kounoupidia.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
27,7063823,Μπρόκολο,2.37,5.62,mprokolo.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
28.1,7063729,Πιπεριές χονδρές,2.15,3.65,piperies_xondres.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
28.2,7063738,Πιπεριές μακριές,2.65,2.65,piperies_makries.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
29,7063831,Μελιτζάνες,2.48,3.29,melitzanes.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
30,7064307,Μαϊντανός,0.72,1.84,maintanos.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
31,7064310,Άνηθος,0.78,1.94,anithos.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
33,7063776,Φασολάκια ,3.7,3.7,fasolakia.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
5,7062908,Μανταρίνια,1.69,2.77,mantarinia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
6,7125570,Αχλάδια,1.99,6.22,axladia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
7.1,7062828,Μήλα Golden Delicious,1.98,4.67,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
7.2,7062840,Μήλα Granny Smith ,1.98,4.75,mila_granny_smith.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
7.3,7633877,Μήλα Starkin Delicious,1.55,4.25,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
7.4,7062808,Μήλα Gala,1.98,4.12,mila_gala.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
8,7063274,Ρόδια,2.75,3.25,rodia.jpg,Φρούτα,Kg,,ab,23-12-2025,29-12-2025
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,23-12-2025,29-12-2025
5,16645,Μανταρίνια,1.65,1.65,16645.jpg,Φρούτα,Kg,,bazaar,23-12-2025,29-12-2025
22,19002,Παντζάρια,1.6,1.6,19002.jpg,Λαχανικά,Kg,,bazaar,23-12-2025,29-12-2025
