CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,08-04-2025,14-04-2025
11,7063667,Τομάτες,1.55,2.73,ntomates.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
12,7063697,Τοματίνια,3.95,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
13,7063652,Αγγούρια,0.55,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
14,7063710,Κολοκύθια,1.95,5.12,kolokuthia.jpg,Λαχανικά,kg,,ab,08-04-2025,14-04-2025
15,7063845,Μαρούλια,0.74,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
17.2,7335944,Πατάτες εγχώριες,1.03,2.69,patates_egxories.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
18,7064239,Σκόρδα (κομμάτι),0.68,0.68,skorda.jpg,Λαχανικά,τμχ.,,ab,08-04-2025,14-04-2025
19,7064213,Κρεμμύδια ξερά,0.84,1.95,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
2,7062943,Λεμόνια,1.19,2.19,lemonia.jpg,Φρούτα,Kg,,ab,08-04-2025,14-04-2025
20,7064229,Κρεμμύδια φρέσκα,2.29,2.29,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
21,7063904,Σπανάκι,1.96,5.99,spanaki.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
22,7063905,Παντζάρια,1.39,4.95,pantzaria.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
23,7063924,Καρότα,0.79,2.12,karota.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
25,7063804,Λάχανα,0.65,1.42,laxana.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
26,7063767,Κουνουπίδια,1.55,5.19,kounoupidia.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
27,7063823,Μπρόκολο,2.19,5.75,mprokolo.jpg,Λαχανικά,Kg,,ab,08-04-2025,14-04-2025
