CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,11-02-2025,17-02-2025
11,7063667,Τομάτες,1.59,2.93,ntomates.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
12,7063697,Τοματίνια,4.2,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
13,7063652,Αγγούρια,0.7,1.95,aggouria.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
14,7063710,Κολοκύθια,2.35,7.16,kolokuthia.jpg,Λαχανικά,kg,,ab,11-02-2025,17-02-2025
15,7063845,Μαρούλια,0.77,1.68,maroulia.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
17.1,7064162,Πατάτες Κύπρου,1.94,1.94,patates_kuprou.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
17.2,7335944,Πατάτες εγχώριες,0.96,2.52,patates_egxories.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
18,7064239,Σκόρδα (κομμάτι),0.63,0.63,skorda.jpg,Λαχανικά,τμχ.,,ab,11-02-2025,17-02-2025
19,7064213,Κρεμμύδια ξερά,0.76,1.69,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
2,7062943,Λεμόνια,1.09,2.23,lemonia.jpg,Φρούτα,Kg,,ab,11-02-2025,17-02-2025
20,7064229,Κρεμμύδια φρέσκα,2.59,2.59,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
21,7063904,Σπανάκι,2.05,4.98,spanaki.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
22,7063905,Παντζάρια,1.37,4.52,pantzaria.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
23,7063924,Καρότα,0.93,2.18,karota.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
25,7063804,Λάχανα,0.78,1.79,laxana.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
26,7063767,Κουνουπίδια,1.35,5.57,kounoupidia.jpg,Λαχανικά,Kg,,ab,11-02-2025,17-02-2025
