CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,3.97,stafilia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
11,7063667,Τομάτες,2.35,2.88,ntomates.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
12,7063697,Τοματίνια,5.15,9.96,ntomatinia.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
13,7063652,Αγγούρια,0.69,1.95,aggouria.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
14,7063710,Κολοκύθια,2.58,6.72,kolokuthia.jpg,Λαχανικά,kg,,ab,21-01-2025,27-01-2025
15,7063845,Μαρούλια,0.77,1.55,maroulia.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
16,7338136,Ρόκα,1.31,1.31,roka.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
17.1,7064162,Πατάτες Κύπρου,1.92,1.92,patates_kuprou.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
17.2,7335944,Πατάτες εγχώριες,0.99,2.36,patates_egxories.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
17.3 ,7148993,Πατάτες εισαγωγής,0.95,0.95,,,,,ab,21-01-2025,27-01-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,21-01-2025,27-01-2025
19,7064213,Κρεμμύδια ξερά,0.73,1.66,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
2,7062943,Λεμόνια,1.15,2.2,lemonia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
20,7064229,Κρεμμύδια φρέσκα,2.57,2.57,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
21,7063904,Σπανάκι,2.39,4.83,spanaki.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
22,7063905,Παντζάρια,1.42,4.13,pantzaria.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
23,7063924,Καρότα,0.89,2.33,karota.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
24,7063936,Ραπανάκια,0.92,0.92,rapanakia.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
25,7063804,Λάχανα,0.89,1.66,laxana.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
26,7063767,Κουνουπίδια,1.94,5.46,kounoupidia.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
27,7063823,Μπρόκολο,2.89,5.98,mprokolo.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
28.1,7063729,Πιπεριές χονδρές,2.65,3.46,piperies_xondres.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
28.2,7063738,Πιπεριές μακριές,2.79,2.79,piperies_makries.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
29,7063831,Μελιτζάνες,3.15,4.55,melitzanes.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
3,7063298,Μπανάνες,1.85,2.04,bananes.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
30,7064307,Μαϊντανός,0.69,1.63,maintanos.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
31,7064310,Άνηθος,0.69,1.63,anithos.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
32,7064311,Σέλινο,2.05,3.39,selino.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
33,7063776,Φασολάκια ,4.98,4.98,fasolakia.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.07,2.1,portokalia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
5,7062908,Μανταρίνια,1.95,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
6,7125570,Αχλάδια,1.46,6.22,axladia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
7.1,7062828,Μήλα Golden Delicious,1.82,4.29,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
7.2,7062840,Μήλα Granny Smith ,1.72,4.29,mila_granny_smith.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
7.3,7633877,Μήλα Starkin Delicious,1.28,3.47,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
7.4,7062808,Μήλα Gala,1.86,4.25,mila_gala.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
8,7063274,Ρόδια,2.31,2.8,rodia.jpg,Φρούτα,Kg,,ab,21-01-2025,27-01-2025
9,7064279,Μανιτάρια,1.31,1.31,manitaria.jpg,Λαχανικά,Kg,,ab,21-01-2025,27-01-2025
22,19002,Παντζάρια,0.98,1.99,19002.jpg,Λαχανικά,Kg,,bazaar,21-01-2025,27-01-2025
11,19004,Τομάτες,2.15,2.75,19004.jpg,Λαχανικά,Kg,,bazaar,21-01-2025,27-01-2025
13,19006,Αγγούρια,0.75,0.85,19006.jpg,Λαχανικά,Kg,,bazaar,21-01-2025,27-01-2025
14,19008,Κολοκύθια,1.99,2.85,19008.jpg,Λαχανικά,kg,,bazaar,21-01-2025,27-01-2025
