CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
11,7063667,Τομάτες,1.79,2.89,ntomates.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
12,7063697,Τοματίνια,3.35,2.25,ntomatinia.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
13,7063652,Αγγούρια,0.89,2.05,aggouria.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
14,7063710,Κολοκύθια,1.75,5.99,kolokuthia.jpg,Λαχανικά,kg,,ab,16-12-2025,22-12-2025
15,7063845,Μαρούλια,0.79,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
17.1,7064162,Πατάτες Κύπρου,1.49,1.49,patates_kuprou.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
17.2,7335944,Πατάτες εγχώριες,0.83,2.05,patates_egxories.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,16-12-2025,22-12-2025
19,7064213,Κρεμμύδια ξερά,0.89,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
2,7062943,Λεμόνια,1.75,2.79,lemonia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
20,7064229,Κρεμμύδια φρέσκα,2.25,2.25,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
21,7063904,Σπανάκι,1.99,5.78,spanaki.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
22,7063905,Παντζάρια,1.48,4.39,pantzaria.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
23,7063924,Καρότα,0.77,2.23,karota.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
25,7063804,Λάχανα,0.55,1.47,laxana.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
26,7063767,Κουνουπίδια,1.55,5.86,kounoupidia.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
27,7063823,Μπρόκολο,2.25,5.99,mprokolo.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
28.1,7063729,Πιπεριές χονδρές,2.15,3.59,piperies_xondres.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
28.2,7063738,Πιπεριές μακριές,2.45,2.45,piperies_makries.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
29,7063831,Μελιτζάνες,2.45,3.49,melitzanes.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
30,7064307,Μαϊντανός,0.67,1.84,maintanos.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
31,7064310,Άνηθος,0.67,1.94,anithos.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
33,7063776,Φασολάκια ,3.7,3.7,fasolakia.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
5,7062908,Μανταρίνια,1.69,2.66,mantarinia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
6,7125570,Αχλάδια,1.99,6.22,axladia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
7.1,7062828,Μήλα Golden Delicious,1.98,4.67,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
7.2,7062840,Μήλα Granny Smith ,1.98,4.88,mila_granny_smith.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
7.3,7633877,Μήλα Starkin Delicious,1.55,4.49,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
7.4,7062808,Μήλα Gala,1.98,3.97,mila_gala.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
8,7063274,Ρόδια,2.75,3.36,rodia.jpg,Φρούτα,Kg,,ab,16-12-2025,22-12-2025
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,16-12-2025,22-12-2025
1,2130008000000,ΣΤΑΦΥΛΙΑ ΚΟΚΚΙΝΑ ΑΣΠΟΡΑ,2.49,2.49,1_Stafilia_Kokkina_Aspora.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
2,2130013000000,ΛΕΜΟΝΙΑ,1.79,1.79,2_Lemonia.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
3,2130012000000,ΜΠΑΝΑΝΕΣ,1.59,1.59,3_Mpananes.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
4,2130115000000,ΠΟΡΤΟΚΑΛΙΑ,0.89,1.29,4_Portokalia_Valencia.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
5,2130053000000,ΜΑΝΤΑΡΙΝΙΑ,1.49,1.49,5_Klimentines_Kalathi.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
6,2130025000000,ΑΧΛΑΔΙΑ,2.49,2.49,6_Achladia_Kristalia.jpg,Φρούτα,Kg,,egnatia,16-12-2025,22-12-2025
