CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.97,4.25,stafilia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
11,7063667,Τομάτες,1.95,2.79,ntomates.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
12,7063697,Τοματίνια,3.65,9.56,ntomatinia.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
13,7063652,Αγγούρια,0.55,1.49,aggouria.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
14,7063710,Κολοκύθια,1.89,4.99,kolokuthia.jpg,Λαχανικά,kg,,ab,22-04-2025,28-04-2025
15,7063845,Μαρούλια,0.78,1.89,maroulia.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
16,7338136,Ρόκα,1.39,1.39,roka.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
17.1,7064162,Πατάτες Κύπρου,1.89,1.89,patates_kuprou.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
17.2,7335944,Πατάτες εγχώριες,0.99,2.69,patates_egxories.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
18,7064239,Σκόρδα (κομμάτι),0.68,0.68,skorda.jpg,Λαχανικά,τμχ.,,ab,22-04-2025,28-04-2025
19,7064213,Κρεμμύδια ξερά,1.1,2.05,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
2,7062943,Λεμόνια,1.25,2.19,lemonia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
20,7064229,Κρεμμύδια φρέσκα,2.19,2.19,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
21,7063904,Σπανάκι,1.96,5.99,spanaki.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
22,7063905,Παντζάρια,1.39,4.95,pantzaria.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
23,7063924,Καρότα,0.79,2.15,karota.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
25,7063804,Λάχανα,0.75,1.29,laxana.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
26,7063767,Κουνουπίδια,1.79,5.3,kounoupidia.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
27,7063823,Μπρόκολο,2.43,5.49,mprokolo.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
28.1,7063729,Πιπεριές χονδρές,3.97,5.27,piperies_xondres.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
28.2,7063738,Πιπεριές μακριές,3.35,3.35,piperies_makries.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
29,7063831,Μελιτζάνες,2.15,5.88,melitzanes.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
30,7064307,Μαϊντανός,0.67,1.29,maintanos.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
31,7064310,Άνηθος,0.67,2.19,anithos.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
32,7064311,Σέλινο,1.83,2.99,selino.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
33,7063776,Φασολάκια ,6.29,6.29,fasolakia.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.12,1.79,portokalia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
5,7062908,Μανταρίνια,1.98,2.52,mantarinia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
6,7125570,Αχλάδια,1.57,6.22,axladia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
7.1,7062828,Μήλα Golden Delicious,1.89,4.36,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
7.2,7062840,Μήλα Granny Smith ,1.73,4.36,mila_granny_smith.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
7.3,7633877,Μήλα Starkin Delicious,1.26,4.18,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
7.4,7062808,Μήλα Gala,1.95,4.15,mila_gala.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
8,7063274,Ρόδια,2.29,2.71,rodia.jpg,Φρούτα,Kg,,ab,22-04-2025,28-04-2025
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,22-04-2025,28-04-2025
22,19002,Παντζάρια,1.19,1.28,19002.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
11,19004,Τομάτες,1.89,2.79,19004.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
14,19008,Κολοκύθια,2.49,2.59,19008.jpg,Λαχανικά,kg,,bazaar,22-04-2025,28-04-2025
7.2,19023,Μήλα Granny Smith,1.69,1.85,19023.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
26,19028,Κουνουπίδια,2.29,2.29,19028.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
29,19034,Μελιτζάνες,1.92,2.49,19034.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
28.2,19036,Πιπεριές μακριές,2.88,4.29,19036.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
6,19042,Αχλάδια,1.8,1.85,19042.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
30,19044,Μαϊντανός,0.55,0.75,19044.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
31,19045,’νηθος,0.55,0.95,19045.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
21,19046,Σπανάκι,1.59,2.29,19046.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
13,19052,Αγγούρια,0.6,1.85,19052.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
7.3,19066,Μήλα Starkin Delicious,1.65,1.9,19066.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
32,19067,Σέλινο,0.4,1.99,19067.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
20,19071,Κρεμμύδια φρέσκα,0.99,2.5,19071.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
27,19076,Μπρόκολο,2.95,2.95,19076.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
4,19100,Πορτοκάλια Βαλέντσια,1.25,1.25,19100.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
15,19119,Μαρούλια,0.75,2.19,19119.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
7.1,19124,Μήλα Golden Delicious,1.69,2.48,19124.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
9,19173,Μανιτάρια,2.35,4.15,19173.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
23,19185,Καρότα,0.89,0.99,19185.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
19,19210,Κρεμμύδια ξερά,0.99,1.08,19210.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
3,19213,Μπανάνες,1.65,1.85,19213.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
10,19792,Αγκινάρες,5.9,5.9,19792.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
28.1,19806,Πιπεριές χονδρές,3.55,4.19,19806.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
25,19935,Λάχανα,0.62,1.39,19935.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
2,19938,Λεμόνια,0.98,1.69,19938.jpg,Φρούτα,Kg,,bazaar,22-04-2025,28-04-2025
17.3,19986,Πατάτες εισαγωγής,0.89,0.89,19986.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
16,5200374820104,Ρόκα,1.09,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,22-04-2025,28-04-2025
18,5202336028665,Σκόρδα (κομμάτι),0.48,0.48,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,22-04-2025,28-04-2025
2,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,1.45,1.45,,Φρούτα,Kg,,galaxias,22-04-2025,28-04-2025
