CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,7063330,Σταφύλια,3.57,4.82,stafilia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
11,7063667,Τομάτες,1.85,2.75,ntomates.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
12,7063697,Τοματίνια,3.35,2.46,ntomatinia.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
13,7063652,Αγγούρια,0.85,1.94,aggouria.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
14,7063710,Κολοκύθια,1.65,5.75,kolokuthia.jpg,Λαχανικά,kg,,ab,09-12-2025,15-12-2025
15,7063845,Μαρούλια,0.79,1.59,maroulia.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
16,7338136,Ρόκα,1.1,1.1,roka.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
17.1,7064162,Πατάτες Κύπρου,1.49,1.49,patates_kuprou.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
17.2,7335944,Πατάτες εγχώριες,0.77,2.05,patates_egxories.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
18,7064239,Σκόρδα (κομμάτι),0.65,0.65,skorda.jpg,Λαχανικά,τμχ.,,ab,09-12-2025,15-12-2025
19,7064213,Κρεμμύδια ξερά,0.89,2.29,kremmudia_xeria.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
2,7062943,Λεμόνια,1.75,2.69,lemonia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
20,7064229,Κρεμμύδια φρέσκα,2.25,2.25,kremmudia_freska.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
21,7063904,Σπανάκι,1.99,5.78,spanaki.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
22,7063905,Παντζάρια,1.48,4.39,pantzaria.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
23,7063924,Καρότα,0.77,2.23,karota.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
24,7063936,Ραπανάκια,0.82,0.82,rapanakia.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
25,7063804,Λάχανα,0.55,1.47,laxana.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
26,7063767,Κουνουπίδια,1.65,5.86,kounoupidia.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
27,7063823,Μπρόκολο,2.25,5.99,mprokolo.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
28.1,7063729,Πιπεριές χονδρές,2.05,3.59,piperies_xondres.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
28.2,7063738,Πιπεριές μακριές,2.35,2.35,piperies_makries.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
29,7063831,Μελιτζάνες,2.05,2.89,melitzanes.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
3,7063298,Μπανάνες,1.85,1.99,bananes.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
30,7064307,Μαϊντανός,0.67,1.84,maintanos.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
31,7064310,Άνηθος,0.67,1.94,anithos.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
32,7064311,Σέλινο,1.73,2.99,selino.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
33,7063776,Φασολάκια ,3.65,3.65,fasolakia.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
4,7062871,Πορτοκάλια Βαλέντσια ,1.34,1.75,portokalia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
5,7062908,Μανταρίνια,1.99,2.66,mantarinia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
6,7125570,Αχλάδια,1.99,6.22,axladia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
7.1,7062828,Μήλα Golden Delicious,1.98,4.67,mila_golden_delicious.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
7.2,7062840,Μήλα Granny Smith ,1.98,4.88,mila_granny_smith.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
7.3,7633877,Μήλα Starkin Delicious,1.59,4.73,mila_starkin_delicious.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
7.4,7062808,Μήλα Gala,1.89,3.97,mila_gala.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
8,7063274,Ρόδια,2.75,3.36,rodia.jpg,Φρούτα,Kg,,ab,09-12-2025,15-12-2025
9,7064279,Μανιτάρια,1.35,1.35,manitaria.jpg,Λαχανικά,Kg,,ab,09-12-2025,15-12-2025
5,16645,Μανταρίνια,1.55,1.55,16645.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
22,19002,Παντζάρια,1.6,1.6,19002.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
11,19004,Τομάτες,1.68,1.68,19004.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
14,19008,Κολοκύθια,3.29,3.29,19008.jpg,Λαχανικά,kg,,bazaar,09-12-2025,15-12-2025
7.2,19023,Μήλα Granny Smith,2.4,2.4,19023.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
26,19028,Κουνουπίδια,1.85,1.85,19028.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
29,19034,Μελιτζάνες,3.68,3.68,19034.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
28.2,19036,Πιπεριές μακριές,2.19,2.8,19036.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
6,19042,Αχλάδια,2.35,2.35,19042.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
30,19044,Μαϊντανός,0.55,0.55,19044.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
31,19045,’νηθος,0.65,0.65,19045.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
21,19046,Σπανάκι,3.09,3.09,19046.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
13,19052,Αγγούρια,2.95,2.95,19052.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
32,19067,Σέλινο,0.5,0.5,19067.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
20,19071,Κρεμμύδια φρέσκα,0.65,0.65,19071.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
27,19076,Μπρόκολο,2.96,2.96,19076.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
15,19119,Μαρούλια,0.96,0.96,19119.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
7.1,19124,Μήλα Golden Delicious,2.19,2.19,19124.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
9,19173,Μανιτάρια,4.49,4.49,19173.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
23,19185,Καρότα,0.98,0.98,19185.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
19,19210,Κρεμμύδια ξερά,0.92,0.92,19210.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
3,19213,Μπανάνες,1.78,1.78,19213.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
28.1,19806,Πιπεριές χονδρές,2.09,2.09,19806.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
25,19935,Λάχανα,0.58,1.09,19935.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
2,19938,Λεμόνια,1.78,1.78,19938.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
17,19948,Πατάτες,0.96,0.96,19948.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
8,19953,Ρόδια,3.52,3.52,19953.jpg,Φρούτα,Kg,,bazaar,09-12-2025,15-12-2025
33,19962,Φασολάκια,3.9,3.9,19962.jpg,Λαχανικά,Kg,,bazaar,09-12-2025,15-12-2025
18,5202336028665,Σκόρδα (κομμάτι),0.48,0.48,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,09-12-2025,15-12-2025
1,1044,Σταφύλια (Σε επιλεγμένα καταστήματα),3.49,3.55,1044.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
2,1140,Λεμόνια,1.74,1.95,1140.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
3,1000,Μπανάνες,1.50,2.29,1000.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
4,1148,Πορτοκάλια (Σε επιλεγμένα καταστήματα),1.01,1.19,1148.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
5,1224,Μανταρίνια ,1.49,1.69,1224.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
6,1032,Αχλάδια,2.42,2.55,1032.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
7,1159,Μήλα (Σε επιλεγμένα καταστήματα),2.37,2.49,1159.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
7.1,1053,Μήλα Golden Delicious (Σε επιλεγμένα καταστήματα),1.99,2.19,1053.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
7.2,1057,Μήλα Granny Smith ,1.97,2.29,1057.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
7.3,1006,Μήλα Starkin Delicious,1.99,1.99,1006.jpg,Φρούτα,Kg,,kritikos,09-12-2025,15-12-2025
