CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.32,Lemoni.png
26,19028,Κουνουπίδια,2.29,2.95,19028.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
29,19034,Μελιτζάνες,1.15,1.69,19034.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
28.2,19036,Πιπεριές μακριές,2.7,3.95,19036.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
6,19042,Αχλάδια,1.95,2.19,19042.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
30,19044,Μαϊντανός,0.45,0.75,19044.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
31,19045,’νηθος,0.48,0.95,19045.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
21,19046,Σπανάκι,1.94,2.56,19046.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
7.3,19066,Μήλα Starkin Delicious,1.79,2.24,19066.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
32,19067,Σέλινο,0.5,2.49,19067.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
20,19071,Κρεμμύδια φρέσκα,0.48,1.94,19071.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
8,19074,Ρόδια,6.35,6.35,19074.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
27,19076,Μπρόκολο,2.65,4.8,19076.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
4,19100,Πορτοκάλια Βαλέντσια,1.19,1.47,19100.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
17.2,19116,Πατάτες εγχώριες,1.52,1.52,19116.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
15,19119,Μαρούλια,0.79,1.69,19119.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
7.1,19124,Μήλα Golden Delicious,1.69,2,19124.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
9,19173,Μανιτάρια,2.35,4.56,19173.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
23,19185,Καρότα,0.45,1.12,19185.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
19,19210,Κρεμμύδια ξερά,0.89,1.2,19210.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
3,19213,Μπανάνες,1.65,1.85,19213.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
28.1,19806,Πιπεριές χονδρές,2.5,2.79,19806.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
25,19935,Λάχανα,0.72,1.49,19935.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
2,19938,Λεμόνια,1.28,1.69,19938.jpg,Φρούτα,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
33,19962,Φασολάκια,4.8,4.8,19962.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
17.3,19986,Πατάτες εισαγωγής,0.79,1.02,19986.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
16,5200374820104,Ρόκα,1.09,1.17,5200374820104.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
18,5202336028665,Σκόρδα (κομμάτι),0.5,0.5,5202336028665.jpg,Λαχανικά,τμχ.,,bazaar,06-05-2025,12-05-2025,,,,,,,
12,5208086436118,Τοματίνια,1.4,3.68,5208086436118.jpg,Λαχανικά,Kg,,bazaar,06-05-2025,12-05-2025,,,,,,,
2,397140,ΛΕΜΟΝΙΑ ΕΓΧΩΡΙΑ,1.35,1.35,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
3,397184,ΜΠΑΝΑΝΕΣ ΕΙΣΑΓΩΓΗΣ,1.48,1.85,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
4,397051,ΠΟΡΤΟΚΑΛΙΑ ΒΑΛΕΝΤΣΙΑ ΕΓΧΩΡΙΑ,1.19,1.19,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
5,397158,ΜΑΝΤΑΡΙΝΙΑ ΕΓΧΩΡΙΑ/ΕΙΣΑΓΩΓΗΣ,1.65,4.73,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
6,397046,ΑΧΛΑΔΙΑ ΚΡΥΣΤΑΛΙΑ ΕΓΧΩΡΙΑ,1.74,1.74,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
7,397169,ΜΗΛΑ FUJI ΕΓΧΩΡΙΑ,2.38,2.38,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
7.1,397067,ΜΗΛΑ ΓΚΟΛΝΤΕΝ  ΕΙΣΑΓΩΓΗΣ,1.85,1.85,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
7.2,397172,ΜΗΛΑ ΣΜΙΘ ΕΓΧΩΡΙΑ (ΞΙΝΟΜΗΛΑ) ΕΓΧΩΡΙΑ,1.79,1.79,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
7.3,397167,ΜΗΛΑ ΣΤΑΡΚΙΝ ΕΓΧΩΡΙΑ,1.45,1.45,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
7.4,397170,ΜΗΛΑ ΓΚΑΛΑ ΕΓΧΩΡΙΑ,1.7,1.7,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
8,397231,ΡΟΔΙΑ ΕΙΣΑΓΩΓΗΣ,5.4,5.4,,Φρούτα,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
9,397150,ΜΑΝΙΤΑΡΙΑ CHAMPION ΤΥΠ/ΝΟ ΕΙΣΑΓΩΓΗΣ,1.57,1.57,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
10,80044420,ΑΓΓΙΝΑΡΕΣ ΤΕΜΑΧΙΟ ΕΓΧΩΡΙΕΣ,1.65,1.65,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
11,397193,ΝΤΟΜΑΤΕΣ ΕΓΧΩΡΙΕΣ,1.78,2,00,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,[''],,,,,,
12,80022643,ΝΤΟΜΑΤΙΝΙΑ ΔΑΚΡΥ(ΒΕΛΑΝΙΔΙΑ)ΕΓΧΩΡΙΑ,4.41,4.41,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
12,397255,ΝΤΟΜΑΤΙΝΙΑ ΕΓΧΩΡΙΑ ΚΙΛ,4.41,4.41,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
13,397004,ΑΓΓΟΥΡΙΑ Α' ΕΓΧΩΡΙΑ ΤΕΜ ,0.4,0.4,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
14,397110,ΚΟΛΟΚΥΘΙΑ ΕΓΧΩΡΙΑ ,1.75,1.75,,Λαχανικά,kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
15,397161,ΜΑΡΟΥΛΙΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.75,0.75,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
17.1,397196,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΚΥΠΡΟΥ,1.85,1.85,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
17.2,397197,ΠΑΤΑΤΑ ΕΓΧΩΡΙΑ Α',0.98,0.98,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
17.3,80029541,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΓΗΣ ΑΙΓΥΠΤΟΥ,0.92,0.92,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
18,397273,ΣΚΟΡΔΑ ΕΙΣΑΓΩΓΗΣ ΤΕΜΑΧΙΑ,0.66,0.66,,Λαχανικά,τμχ.,,galaxias,06-05-2025,12-05-2025,,,,,,,
19,397125,ΚΡΕΜΜΥΔΙΑ ΞΕΡΑ  -ΕΓΧΩΡΙΑ,1.15,1.15,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
20,397123,ΚΡΕΜΜΥΔΑΚΙΑ ΦΡΕΣΚΑ ΕΓΧΩΡΙΑ ΤΕΜ,0.78,0.78,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
21,397246,ΣΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ,1.85,1.85,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
22,397198,ΠΑΝΤΖΑΡΙΑ ΕΓΧΩΡΙΑ,1.35,1.35,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
23,397088,ΚΑΡΟΤΑ ΕΓΧΩΡΙΑ,0.85,0.85,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
24,397221,ΡΑΠΑΝΑΚΙΑ ΕΓΧΩΡΙΑ  ΤΕΜΑΧΙΑ,1.48,1.48,,Λαχανικά,Kg,,galaxias,06-05-2025,12-05-2025,,,,,,,
