CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to
1,520011772,Σταφύλια,2.5,2.5,3152428_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
2,210649000,Λεμόνια,1.75,1.75,0317826_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
3,219851600,Μπανάνες,1.33,1.85,0317990_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
4,210651800,Πορτοκάλια Βαλέντσια,1.08,1.15,3274826_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
6,210695600,Αχλάδια,2.35,2.47,0532788_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
8,521400055,Ρόδια,2.62,3.49,0318360_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
9,521400277,Μανιτάρια,4.9,6.7,3870631_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
11,219861100,Τομάτες,1.9,2.45,0317560_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
12,521400128,Τοματίνια,3.53,7.96,3599933_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
13,520013367,Αγγούρια,0.97,0.97,0318451_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
14,219814300,Κολοκύθια,1.99,2.5,0317677_1.jpg,Λαχανικά,kg,,masoutis,07-01-2026,13-01-2026
15,210685500,Μαρούλια,0.78,0.82,0317719_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
16,520013430,Ρόκα,9.5,9.5,3573615_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
18,843701919,Σκόρδα (κομμάτι),0.43,0.45,0496489_1.jpg,Λαχανικά,τμχ.,,masoutis,07-01-2026,13-01-2026
19,219855300,Κρεμμύδια ξερά,0.88,0.95,2152155_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
20,520013430,Κρεμμύδια φρέσκα,0.78,0.78,0574418_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
21,210614200,Σπανάκι,1.93,1.93,0317685_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
22,210613800,Παντζάρια,1.4,1.4,0317636_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
23,210686900,Καρότα,0.73,0.88,0318261_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
24,520011861,Ραπανάκια,6.96,6.96,0444836_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
25,210686800,Λάχανα,0.42,0.86,0317727_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
26,210615100,Κουνουπίδια,1.45,1.45,0317776_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
27,210637800,Μπρόκολα,2.59,2.59,3204070_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
29,219856800,Μελιτζάνες,2.35,2.69,0317669_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
30,520013430,Μαϊντανός,6.8,6.8,0318469_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
31,520013430,Ανηθος,7.2,7.2,0437285_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
32,210691500,Σέλινο,1.68,2.42,0317768_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
33,210665900,Φασολάκια,3.6,3.6,,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
17.1,210681000,Πατάτες Κύπρου,1.45,1.45,1697325_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
17.2,219859100,Πατάτες εγχώριες,0.63,1.62,0317479_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
17.3,219809600,Πατάτες εισαγωγής,1.98,1.98,0539759_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
28.1,520037810,Πιπεριές χονδρές,2.1,2.3,0317651_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
28.2,764460243,Πιπεριές μακριές,2.99,3.23,0317644_1.jpg,Λαχανικά,Kg,,masoutis,07-01-2026,13-01-2026
7.1,210686500,Μήλα Golden Delicious,1.92,1.92,0317149_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
7.2,219860900,Μήλα Granny Smith,1.96,1.96,0317131_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
7.3,210647400,Μήλα Starkin Delicious,1.98,2.65,3339017_1.jpg,Φρούτα,Kg,,masoutis,07-01-2026,13-01-2026
2,198021                                                      ,Λεμόνια,1.75,1.75,198021_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
3,192041/198242                                               ,Μπανάνες,1.49,1.99,,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
4,198114/198460                                               ,Πορτοκάλια Βαλέντσια,0.99,1.05,,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
5,198120                                                      ,Μανταρίνια,1.69,1.69,198120_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
6,198274                                                      ,Αχλάδια,2.35,2.35,198274_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
7.1,198096                                                      ,Μήλα Golden Delicious,2.19,2.19,198096_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
7.2,198095                                                      ,Μήλα Granny Smith ,1.99,1.99,198095_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
7.3,198132                                                      ,Μήλα Starkin Delicious,1.98,1.98,198132_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
7.4,198271                                                      ,Μήλα Gala,1.99,1.99,198271_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
8,198075                                                      ,Ρόδια,2.99,2.99,198075_E1.jpg,Φρούτα,Kg,,mymarket,07-01-2026,13-01-2026
9,192081/198179                                               ,Μανιτάρια,5.10,8.50,,Λαχανικά,Kg,,mymarket,07-01-2026,13-01-2026
11,198028                                                      ,Τομάτες,1.89,1.89,198028_E1.jpg,Λαχανικά,Kg,,mymarket,07-01-2026,13-01-2026
12,192066/198676                                               ,Τοματίνια,3.88,7.96,,Λαχανικά,Kg,,mymarket,07-01-2026,13-01-2026
13,198026                                                      ,Αγγούρια,0.99,0.99,198026_E1.jpg,Λαχανικά,Kg,,mymarket,07-01-2026,13-01-2026
14,198027                                                      ,Κολοκύθια,2.02,2.02,198027_E1.jpg,Λαχανικά,kg,,mymarket,07-01-2026,13-01-2026
15,198024                                                      ,Μαρούλια,0.88,0.88,198024_E1.jpg,Λαχανικά,Kg,,mymarket,07-01-2026,13-01-2026
